BETTENBELEGT,BETTENBELEGTTOBETTENGESAMTPERCENT,BETTENFREI,BETTENFREITOBETTENGESAMTPERCENT,BETTENGESAMT,COVID,COVIDBEATMET,COVIDTOINTENSIVBETTENPERCENT,FAELLECOVIDAKTUELLBEATMETTOCOVIDAKTUELLPERCENT,ID,LKNAME,MAPLABEL,MELDEBEREICHANZ
33,78.57,9,21.43,42,6,4,14.29,66.67,04012,"Bremerhaven, Stadt",,3
44,88.0,6,12.0,50,2,1,4.0,50.0,08125,Heilbronn,,2
34,100.0,0,0.0,34,7,3,20.59,42.86,01056,Pinneberg,,2
49,72.06,19,27.94,68,10,6,14.71,60.0,05382,Rhein-Sieg-Kreis,,5
62,93.94,4,6.06,66,8,2,12.12,25.0,05316,"Leverkusen, Stadt",,3
45,75.0,15,25.0,60,14,7,23.33,50.0,12068,Ostprignitz-Ruppin,,3
14,87.5,2,12.5,16,3,2,18.75,66.67,07233,Vulkaneifel,,2
24,80.0,6,20.0,30,5,5,16.67,100.0,07141,Rhein-Lahn-Kreis,,5
69,83.13,14,16.87,83,9,8,10.84,88.89,08416,Tübingen,,3
237,88.1,32,11.9,269,64,31,23.79,48.44,06412,"Frankfurt am Main, Stadt",,14
13,76.47,4,23.53,17,3,2,17.65,66.67,08336,Lörrach,,1
144,92.9,11,7.1,155,23,15,14.84,65.22,08311,"Freiburg im Breisgau, Stadtkreis",,4
91,84.26,17,15.74,108,24,15,22.22,62.5,16053,"Jena, Stadt",,1
13,92.86,1,7.14,14,3,0,21.43,0.0,16064,Unstrut-Hainich-Kreis,,3
22,75.86,7,24.14,29,5,3,17.24,60.0,03102,"Salzgitter, Stadt",,2
79,85.87,13,14.13,92,8,3,8.7,37.5,13003,Rostock,,2
64,78.05,18,21.95,82,11,8,13.41,72.73,05122,"Solingen, Klingenstadt",,3
24,77.42,7,22.58,31,8,6,25.81,75.0,06636,Werra-Meißner-Kreis,,3
11,55.0,9,45.0,20,1,0,5.0,0.0,12071,Spree-Neiße,,3
54,88.52,7,11.48,61,1,0,1.64,0.0,08435,Bodenseekreis,,3
13,81.25,3,18.75,16,3,1,18.75,33.33,06439,Rheingau-Taunus-Kreis,,2
45,84.91,8,15.09,53,8,3,15.09,37.5,08315,Breisgau-Hochschwarzwald,,4
1020,88.54,132,11.46,1152,301,211,26.13,70.1,11000,"Berlin, Stadt",,53
149,87.13,22,12.87,171,17,14,9.94,82.35,05911,"Bochum, Stadt",,6
19,73.08,7,26.92,26,2,1,7.69,50.0,15086,Jerichower Land,,2
15,83.33,3,16.67,18,1,0,5.56,0.0,09777,Ostallgäu,,3
13,72.22,5,27.78,18,4,1,22.22,25.0,07332,Bad Dürkheim,,2
15,78.95,4,21.05,19,4,1,21.05,25.0,09177,Erding,,1
43,65.15,23,34.85,66,3,1,4.55,33.33,03454,Emsland,,6
11,78.57,3,21.43,14,0,0,0.0,0.0,09185,Neuburg-Schrobenhausen,,2
118,86.76,18,13.24,136,5,3,3.68,60.0,09663,Würzburg,,3
20,83.33,4,16.67,24,4,1,16.67,25.0,01059,Schleswig-Flensburg,,1
9,75.0,3,25.0,12,2,0,16.67,0.0,09375,Regensburg,,2
51,92.73,4,7.27,55,12,8,21.82,66.67,09462,Bayreuth,,5
12,85.71,2,14.29,14,1,1,7.14,100.0,08425,Alb-Donau-Kreis,,2
16,88.89,2,11.11,18,6,2,33.33,33.33,09762,Kaufbeuren,,1
44,84.62,8,15.38,52,6,4,11.54,66.67,12069,Potsdam-Mittelmark,,2
27,96.43,1,3.57,28,5,3,17.86,60.0,09174,Dachau,,1
22,91.67,2,8.33,24,6,2,25.0,33.33,03256,Nienburg (Weser),,1
7,100.0,0,0.0,7,1,1,14.29,100.0,09671,Aschaffenburg,,1
37,84.09,7,15.91,44,7,2,15.91,28.57,06431,Bergstraße,,5
38,71.7,15,28.3,53,7,5,13.21,71.43,07138,Neuwied,,6
74,77.89,21,22.11,95,13,5,13.68,38.46,07111,"Koblenz, kreisfreie Stadt",,4
7,87.5,1,12.5,8,1,1,12.5,100.0,03458,Oldenburg,,1
9,90.0,1,10.0,10,0,0,0.0,0.0,09371,Amberg-Sulzbach,,1
27,93.1,2,6.9,29,6,2,20.69,33.33,05762,Höxter,,5
9,69.23,4,30.77,13,0,0,0.0,0.0,07337,Südliche Weinstraße,,2
