"bettenBelegtToBettenGesamtPercent","bettenFreiToBettenGesamtPercent",bundesland,"covidToIntensivBettenPercent",creationTimestamp,faelleCovidAktuell,"faelleCovidAktuellBeatmet","faelleCovidAktuellBeatmetToCovidAktuellPercent",intensivBettenBelegt,intensivBettenFrei,intensivBettenGesamt,intensivBettenNotfall7d,meldebereichAnz
74.07,25.93,SCHLESWIG_HOLSTEIN,7.66,2021-01-06T17:19:05Z,60,35,58.33,580,203,783,468,39
80.6,19.4,HAMBURG,16.27,2021-01-06T17:19:05Z,109,68,62.39,540,130,670,331,34
79.87,20.13,NIEDERSACHSEN,12.19,2021-01-06T17:19:05Z,269,142,52.79,1762,444,2206,1033,154
79.74,20.26,BREMEN,11.89,2021-01-06T17:19:05Z,27,15,55.56,181,46,227,144,14
84.79,15.21,NORDRHEIN_WESTFALEN,16.96,2021-01-06T17:19:05Z,1088,612,56.25,5440,976,6416,2448,403
87.18,12.82,HESSEN,24.34,2021-01-06T17:19:05Z,509,265,52.06,1823,268,2091,836,118
76.39,23.61,RHEINLAND_PFALZ,17.37,2021-01-06T17:19:05Z,209,99,47.37,919,284,1203,442,94
84.05,15.95,BADEN_WUERTTEMBERG,21.07,2021-01-06T17:19:05Z,604,356,58.94,2409,457,2866,1385,183
85.57,14.43,BAYERN,23.55,2021-01-06T17:19:05Z,904,518,57.3,3285,554,3839,1164,270
83.46,16.54,SAARLAND,15.94,2021-01-06T17:19:05Z,81,34,41.98,424,84,508,248,25
88.24,11.76,BERLIN,34.96,2021-01-06T17:19:05Z,452,306,67.7,1141,152,1293,382,64
86.11,13.89,BRANDENBURG,29.94,2021-01-06T17:19:05Z,235,119,50.64,676,109,785,311,56
78.63,21.37,MECKLENBURG_VORPOMMERN,12.33,2021-01-06T17:19:05Z,90,40,44.44,574,156,730,226,42
80.45,19.55,SACHSEN,32.3,2021-01-06T17:19:05Z,522,279,53.45,1300,316,1616,620,94
84.65,15.35,SACHSEN_ANHALT,23.14,2021-01-06T17:19:05Z,211,119,56.4,772,140,912,355,56
84.4,15.6,THUERINGEN,26.09,2021-01-06T17:19:05Z,204,118,57.84,660,122,782,355,45
