"bettenBelegtToBettenGesamtPercent","bettenFreiToBettenGesamtPercent",bundesland,"covidToIntensivBettenPercent",creationTimestamp,faelleCovidAktuell,"faelleCovidAktuellBeatmet","faelleCovidAktuellBeatmetToCovidAktuellPercent",intensivBettenBelegt,intensivBettenFrei,intensivBettenGesamt,intensivBettenNotfall7d,meldebereichAnz
70.17,29.83,SCHLESWIG_HOLSTEIN,3.07,2020-12-05T17:19:04Z,26,15,57.69,595,253,848,429,39
83.74,16.26,HAMBURG,13.69,2020-12-05T17:19:04Z,96,59,61.46,587,114,701,350,34
76.73,23.27,NIEDERSACHSEN,7.8,2020-12-05T17:19:04Z,179,100,55.87,1761,534,2295,1064,152
86.0,14.0,BREMEN,16.0,2020-12-05T17:19:04Z,32,27,84.38,172,28,200,136,14
82.83,17.17,NORDRHEIN_WESTFALEN,14.56,2020-12-05T17:19:04Z,942,591,62.74,5358,1111,6469,2580,404
86.84,13.16,HESSEN,16.91,2020-12-05T17:19:04Z,347,216,62.25,1782,270,2052,904,117
75.06,24.94,RHEINLAND_PFALZ,14.88,2020-12-05T17:19:04Z,179,100,55.87,903,300,1203,459,94
80.69,19.31,BADEN_WUERTTEMBERG,15.07,2020-12-05T17:19:04Z,444,262,59.01,2378,569,2947,1536,182
81.76,18.24,BAYERN,18.09,2020-12-05T17:19:04Z,704,412,58.52,3182,710,3892,1491,268
77.67,22.33,SAARLAND,13.88,2020-12-05T17:19:04Z,69,24,34.78,386,111,497,237,25
88.67,11.33,BERLIN,27.42,2020-12-05T17:19:04Z,346,231,66.76,1119,143,1262,427,64
79.79,20.21,BRANDENBURG,12.02,2020-12-05T17:19:04Z,91,51,56.04,604,153,757,409,56
79.4,20.6,MECKLENBURG_VORPOMMERN,4.86,2020-12-05T17:19:04Z,34,15,44.12,555,144,699,242,42
80.48,19.52,SACHSEN,25.88,2020-12-05T17:19:04Z,419,236,56.32,1303,316,1619,687,95
77.28,22.72,SACHSEN_ANHALT,6.16,2020-12-05T17:19:04Z,58,34,58.62,728,214,942,394,56
77.83,22.17,THUERINGEN,10.96,2020-12-05T17:19:04Z,89,43,48.31,632,180,812,412,45
