"bettenBelegtToBettenGesamtPercent","bettenFreiToBettenGesamtPercent",bundesland,covidKapazitaetFrei,"covidToIntensivBettenPercent",creationTimestamp,faelleCovidAktuell,"faelleCovidAktuellBeatmet","faelleCovidAktuellBeatmetToCovidAktuellPercent",intensivBettenBelegt,intensivBettenFrei,intensivBettenGesamt,intensivBettenNotfall7d,meldebereichAnz
80.1,19.9,SCHLESWIG_HOLSTEIN,62,9.56,2021-02-27T17:19:05Z,74,55,74.32,620,154,774,478,39
84.36,15.64,HAMBURG,37,12.13,2021-02-27T17:19:05Z,83,48,57.83,577,107,684,325,34
80.46,19.54,NIEDERSACHSEN,180,9.06,2021-02-27T17:19:05Z,199,112,56.28,1767,429,2196,1045,153
87.92,12.08,BREMEN,14,14.49,2021-02-27T17:19:05Z,30,22,73.33,182,25,207,132,14
84.64,15.36,NORDRHEIN_WESTFALEN,484,9.08,2021-02-27T17:19:05Z,579,333,57.51,5395,979,6374,2530,406
84.28,15.72,HESSEN,124,12.24,2021-02-27T17:19:05Z,257,135,52.53,1769,330,2099,821,116
74.86,25.14,RHEINLAND_PFALZ,126,8.6,2021-02-27T17:19:05Z,104,57,54.81,905,304,1209,444,94
83.35,16.65,BADEN_WUERTTEMBERG,259,9.13,2021-02-27T17:19:05Z,260,139,53.46,2373,474,2847,1394,183
83.08,16.92,BAYERN,332,11.81,2021-02-27T17:19:05Z,453,261,57.62,3186,649,3835,1136,270
82.0,18.0,SAARLAND,45,9.2,2021-02-27T17:19:05Z,46,26,56.52,410,90,500,244,24
85.11,14.89,BERLIN,82,16.16,2021-02-27T17:19:05Z,203,151,74.38,1069,187,1256,388,64
76.94,23.06,BRANDENBURG,69,14.1,2021-02-27T17:19:05Z,107,71,66.36,584,175,759,347,57
76.51,23.49,MECKLENBURG_VORPOMMERN,76,5.43,2021-02-27T17:19:05Z,37,20,54.05,521,160,681,245,40
71.18,28.82,SACHSEN,150,11.45,2021-02-27T17:19:05Z,186,105,56.45,1156,468,1624,651,94
83.04,16.96,SACHSEN_ANHALT,67,8.65,2021-02-27T17:19:05Z,78,47,60.26,749,153,902,341,55
84.57,15.43,THUERINGEN,59,16.6,2021-02-27T17:19:05Z,128,72,56.25,652,119,771,366,45
