"bettenBelegtToBettenGesamtPercent","bettenFreiToBettenGesamtPercent",bundesland,covidKapazitaetFrei,"covidToIntensivBettenPercent",creationTimestamp,faelleCovidAktuell,"faelleCovidAktuellBeatmet","faelleCovidAktuellBeatmetToCovidAktuellPercent",intensivBettenBelegt,intensivBettenFrei,intensivBettenGesamt,intensivBettenNotfall7d,meldebereichAnz
76.96,23.04,SCHLESWIG_HOLSTEIN,59,9.91,2021-02-28T17:19:10Z,77,54,70.13,598,179,777,473,39
81.54,18.46,HAMBURG,36,12.7,2021-02-28T17:19:10Z,86,50,58.14,552,125,677,333,34
79.16,20.84,NIEDERSACHSEN,184,8.94,2021-02-28T17:19:10Z,196,119,60.71,1736,457,2193,1046,153
88.67,11.33,BREMEN,13,13.79,2021-02-28T17:19:10Z,28,21,75.0,180,23,203,132,14
83.41,16.59,NORDRHEIN_WESTFALEN,506,9.19,2021-02-28T17:19:10Z,584,336,57.53,5303,1055,6358,2530,406
83.62,16.38,HESSEN,132,12.6,2021-02-28T17:19:10Z,263,137,52.09,1746,342,2088,817,116
72.8,27.2,RHEINLAND_PFALZ,136,8.37,2021-02-28T17:19:10Z,100,56,56.0,870,325,1195,454,94
81.03,18.97,BADEN_WUERTTEMBERG,281,8.94,2021-02-28T17:19:10Z,254,134,52.76,2303,539,2842,1398,183
82.0,18.0,BAYERN,346,12.11,2021-02-28T17:19:10Z,463,260,56.16,3135,688,3823,1140,270
81.44,18.56,SAARLAND,45,9.18,2021-02-28T17:19:10Z,46,26,56.52,408,93,501,246,24
83.45,16.55,BERLIN,84,16.07,2021-02-28T17:19:10Z,201,149,74.13,1044,207,1251,384,64
74.7,25.3,BRANDENBURG,75,13.38,2021-02-28T17:19:10Z,101,66,65.35,564,191,755,352,57
73.75,26.25,MECKLENBURG_VORPOMMERN,76,6.34,2021-02-28T17:19:10Z,43,23,53.49,500,178,678,251,40
69.73,30.27,SACHSEN,164,11.37,2021-02-28T17:19:10Z,183,100,54.64,1122,487,1609,652,94
81.49,18.51,SACHSEN_ANHALT,74,8.65,2021-02-28T17:19:10Z,78,48,61.54,735,167,902,339,55
84.6,15.4,THUERINGEN,53,17.62,2021-02-28T17:19:10Z,135,82,60.74,648,118,766,368,45
