"bettenBelegtToBettenGesamtPercent","bettenFreiToBettenGesamtPercent",bundesland,"covidToIntensivBettenPercent",creationTimestamp,faelleCovidAktuell,"faelleCovidAktuellBeatmet","faelleCovidAktuellBeatmetToCovidAktuellPercent",intensivBettenBelegt,intensivBettenFrei,intensivBettenGesamt,intensivBettenNotfall7d,meldebereichAnz
78.75,21.25,SCHLESWIG_HOLSTEIN,9.3,2021-01-22T17:19:11Z,70,39,55.71,593,160,753,485,39
85.19,14.81,HAMBURG,14.81,2021-01-22T17:19:11Z,100,61,61.0,575,100,675,326,34
82.42,17.58,NIEDERSACHSEN,13.07,2021-01-22T17:19:11Z,287,140,48.78,1810,386,2196,1028,153
88.11,11.89,BREMEN,17.18,2021-01-22T17:19:11Z,39,22,56.41,200,27,227,130,14
86.75,13.25,NORDRHEIN_WESTFALEN,13.45,2021-01-22T17:19:11Z,872,485,55.62,5622,859,6481,2490,406
87.21,12.79,HESSEN,20.81,2021-01-22T17:19:11Z,436,229,52.52,1827,268,2095,814,115
77.94,22.06,RHEINLAND_PFALZ,15.99,2021-01-22T17:19:11Z,192,92,47.92,936,265,1201,421,94
86.96,13.04,BADEN_WUERTTEMBERG,16.68,2021-01-22T17:19:11Z,481,283,58.84,2507,376,2883,1371,183
85.32,14.68,BAYERN,18.84,2021-01-22T17:19:11Z,729,426,58.44,3301,568,3869,1125,269
84.91,15.09,SAARLAND,18.18,2021-01-22T17:19:11Z,94,38,40.43,439,78,517,238,24
87.09,12.91,BERLIN,29.52,2021-01-22T17:19:11Z,384,268,69.79,1133,168,1301,384,64
82.2,17.8,BRANDENBURG,27.09,2021-01-22T17:19:11Z,207,94,45.41,628,136,764,332,56
81.91,18.09,MECKLENBURG_VORPOMMERN,11.78,2021-01-22T17:19:11Z,84,39,46.43,584,129,713,228,42
77.2,22.8,SACHSEN,26.86,2021-01-22T17:19:11Z,437,251,57.44,1256,371,1627,626,94
88.42,11.58,SACHSEN_ANHALT,20.77,2021-01-22T17:19:11Z,190,119,62.63,809,106,915,347,55
83.95,16.05,THUERINGEN,21.6,2021-01-22T17:19:11Z,175,103,58.86,680,130,810,351,45
