"bettenBelegtToBettenGesamtPercent","bettenFreiToBettenGesamtPercent",bundesland,"covidToIntensivBettenPercent",creationTimestamp,faelleCovidAktuell,"faelleCovidAktuellBeatmet","faelleCovidAktuellBeatmetToCovidAktuellPercent",intensivBettenBelegt,intensivBettenFrei,intensivBettenGesamt,intensivBettenNotfall7d,meldebereichAnz
75.67,24.33,SCHLESWIG_HOLSTEIN,8.45,2021-01-13T17:19:05Z,66,42,63.64,591,190,781,472,39
82.07,17.93,HAMBURG,14.81,2021-01-13T17:19:05Z,100,62,62.0,554,121,675,325,34
80.19,19.81,NIEDERSACHSEN,13.01,2021-01-13T17:19:05Z,287,154,53.66,1769,437,2206,1027,153
82.61,17.39,BREMEN,12.61,2021-01-13T17:19:05Z,29,15,51.72,190,40,230,144,14
85.47,14.53,NORDRHEIN_WESTFALEN,15.34,2021-01-13T17:19:05Z,987,569,57.65,5501,935,6436,2456,403
86.6,13.4,HESSEN,21.82,2021-01-13T17:19:05Z,456,251,55.04,1810,280,2090,830,117
77.08,22.92,RHEINLAND_PFALZ,15.91,2021-01-13T17:19:05Z,195,103,52.82,945,281,1226,434,94
84.2,15.8,BADEN_WUERTTEMBERG,18.44,2021-01-13T17:19:05Z,531,332,62.52,2425,455,2880,1373,183
84.71,15.29,BAYERN,21.31,2021-01-13T17:19:05Z,821,476,57.98,3263,589,3852,1139,270
82.81,17.19,SAARLAND,16.41,2021-01-13T17:19:05Z,84,43,51.19,424,88,512,243,24
88.97,11.03,BERLIN,31.3,2021-01-13T17:19:05Z,406,290,71.43,1154,143,1297,382,64
85.1,14.9,BRANDENBURG,30.72,2021-01-13T17:19:05Z,235,106,45.11,651,114,765,334,56
81.25,18.75,MECKLENBURG_VORPOMMERN,13.06,2021-01-13T17:19:05Z,94,40,42.55,585,135,720,221,42
78.92,21.08,SACHSEN,31.22,2021-01-13T17:19:05Z,508,284,55.91,1284,343,1627,614,93
83.75,16.25,SACHSEN_ANHALT,21.08,2021-01-13T17:19:05Z,192,106,55.21,763,148,911,344,55
85.3,14.7,THUERINGEN,24.84,2021-01-13T17:19:05Z,196,105,53.57,673,116,789,355,45
