"bettenBelegtToBettenGesamtPercent","bettenFreiToBettenGesamtPercent",bundesland,covidKapazitaetFrei,"covidToIntensivBettenPercent",creationTimestamp,faelleCovidAktuell,"faelleCovidAktuellBeatmet","faelleCovidAktuellBeatmetToCovidAktuellPercent",intensivBettenBelegt,intensivBettenFrei,"intensivBettenFreiProStandort",intensivBettenGesamt,intensivBettenNotfall7d,meldebereichAnz,standortAnzahl
81.66,18.34,SCHLESWIG_HOLSTEIN,48,3.38,2021-11-09T18:05:15Z,26,14,53.85,628,141,4.548387096774194,769,466,38,31
84.31,15.69,HAMBURG,29,7.68,2021-11-09T18:05:15Z,47,30,63.83,516,96,4.0,612,335,34,24
84.94,15.06,NIEDERSACHSEN,106,6.48,2021-11-09T18:05:15Z,136,75,55.15,1782,316,2.6779661016949152,2098,1054,153,118
87.62,12.38,BREMEN,8,10.4,2021-11-09T18:05:15Z,21,15,71.43,177,25,2.272727272727273,202,127,13,11
88.03,11.97,NORDRHEIN_WESTFALEN,308,7.45,2021-11-09T18:05:15Z,447,228,51.01,5278,718,2.3933333333333335,5996,2431,397,300
88.77,11.23,HESSEN,50,10.08,2021-11-09T18:05:15Z,200,87,43.5,1762,223,2.372340425531915,1985,729,114,94
84.22,15.78,RHEINLAND_PFALZ,63,7.59,2021-11-09T18:05:15Z,87,43,49.43,966,181,2.4133333333333336,1147,417,94,75
85.37,14.63,BADEN_WUERTTEMBERG,141,13.21,2021-11-09T18:05:15Z,356,172,48.31,2300,394,3.126984126984127,2694,1276,183,126
89.04,10.96,BAYERN,144,18.48,2021-11-09T18:05:15Z,651,343,52.69,3137,386,1.93,3523,903,267,200
86.71,13.29,SAARLAND,26,5.45,2021-11-09T18:05:15Z,25,7,28.0,398,61,3.8125,459,290,23,16
90.85,9.15,BERLIN,20,11.62,2021-11-09T18:05:15Z,136,81,59.56,1063,107,2.6097560975609757,1170,381,64,41
80.98,19.02,BRANDENBURG,34,8.74,2021-11-09T18:05:15Z,57,19,33.33,528,124,2.5833333333333335,652,352,54,48
83.6,16.4,MECKLENBURG_VORPOMMERN,37,4.66,2021-11-09T18:05:15Z,29,17,58.62,520,102,3.2903225806451615,622,229,39,31
85.72,14.28,SACHSEN,63,18.27,2021-11-09T18:05:15Z,270,134,49.63,1267,211,2.971830985915493,1478,697,95,71
88.11,11.89,SACHSEN_ANHALT,40,8.01,2021-11-09T18:05:15Z,64,35,54.69,704,95,2.317073170731707,799,349,55,41
87.02,12.98,THUERINGEN,30,18.76,2021-11-09T18:05:15Z,133,73,54.89,617,92,2.5555555555555554,709,316,44,36
