"bettenBelegtToBettenGesamtPercent","bettenFreiToBettenGesamtPercent",bundesland,"covidToIntensivBettenPercent",creationTimestamp,faelleCovidAktuell,"faelleCovidAktuellBeatmet","faelleCovidAktuellBeatmetToCovidAktuellPercent",intensivBettenBelegt,intensivBettenFrei,intensivBettenGesamt,intensivBettenNotfall7d,meldebereichAnz
75.13,24.87,SCHLESWIG_HOLSTEIN,8.59,2021-01-03T17:19:06Z,66,34,51.52,577,191,768,461,39
80.22,19.78,HAMBURG,17.91,2021-01-03T17:19:06Z,115,70,60.87,515,127,642,344,34
77.48,22.52,NIEDERSACHSEN,12.55,2021-01-03T17:19:06Z,273,135,49.45,1686,490,2176,1050,152
82.86,17.14,BREMEN,14.76,2021-01-03T17:19:06Z,31,22,70.97,174,36,210,147,14
83.76,16.24,NORDRHEIN_WESTFALEN,18.42,2021-01-03T17:19:06Z,1169,653,55.86,5317,1031,6348,2495,405
86.52,13.48,HESSEN,25.26,2021-01-03T17:19:06Z,519,257,49.52,1778,277,2055,831,117
72.36,27.64,RHEINLAND_PFALZ,18.93,2021-01-03T17:19:06Z,224,115,51.34,856,327,1183,461,94
83.06,16.94,BADEN_WUERTTEMBERG,22.44,2021-01-03T17:19:06Z,633,370,58.45,2343,478,2821,1381,183
85.01,14.99,BAYERN,23.94,2021-01-03T17:19:06Z,909,508,55.89,3228,569,3797,1154,270
78.03,21.97,SAARLAND,16.02,2021-01-03T17:19:06Z,78,35,44.87,380,107,487,255,25
88.6,11.4,BERLIN,35.3,2021-01-03T17:19:06Z,449,297,66.15,1127,145,1272,386,64
83.22,16.78,BRANDENBURG,31.18,2021-01-03T17:19:06Z,236,128,54.24,630,127,757,333,56
80.41,19.59,MECKLENBURG_VORPOMMERN,12.69,2021-01-03T17:19:06Z,92,41,44.57,583,142,725,218,42
81.09,18.91,SACHSEN,35.0,2021-01-03T17:19:06Z,559,282,50.45,1295,302,1597,627,94
82.08,17.92,SACHSEN_ANHALT,22.23,2021-01-03T17:19:06Z,201,103,51.24,742,162,904,365,56
82.65,17.35,THUERINGEN,28.06,2021-01-03T17:19:06Z,220,128,58.18,648,136,784,359,45
