"bettenBelegtToBettenGesamtPercent","bettenFreiToBettenGesamtPercent",bundesland,covidKapazitaetFrei,"covidToIntensivBettenPercent",creationTimestamp,faelleCovidAktuell,"faelleCovidAktuellBeatmet","faelleCovidAktuellBeatmetToCovidAktuellPercent",intensivBettenBelegt,intensivBettenFrei,"intensivBettenFreiProStandort",intensivBettenGesamt,intensivBettenNotfall7d,meldebereichAnz,standortAnzahl
77.13,22.87,SCHLESWIG_HOLSTEIN,71,2.58,2021-06-04T16:19:05Z,20,18,90.0,597,177,5.53125,774,477,39,32
83.39,16.61,HAMBURG,33,6.37,2021-06-04T16:19:05Z,41,34,82.93,537,107,4.6521739130434785,644,304,33,23
82.48,17.52,NIEDERSACHSEN,173,5.21,2021-06-04T16:19:05Z,110,70,63.64,1742,370,3.1623931623931623,2112,1035,152,117
89.22,10.78,BREMEN,14,11.27,2021-06-04T16:19:05Z,23,18,78.26,182,22,1.8333333333333333,204,129,13,12
84.11,15.89,NORDRHEIN_WESTFALEN,449,6.62,2021-06-04T16:19:05Z,416,298,71.63,5282,998,3.261437908496732,6280,2482,406,306
83.18,16.82,HESSEN,107,9.55,2021-06-04T16:19:05Z,192,100,52.08,1672,338,3.595744680851064,2010,733,114,94
73.49,26.51,RHEINLAND_PFALZ,134,5.97,2021-06-04T16:19:05Z,70,46,65.71,862,311,4.1466666666666665,1173,459,94,75
81.8,18.2,BADEN_WUERTTEMBERG,272,10.19,2021-06-04T16:19:05Z,284,177,62.32,2279,507,4.088709677419355,2786,1361,181,124
82.21,17.79,BAYERN,340,8.53,2021-06-04T16:19:05Z,319,193,60.5,3073,665,3.292079207920792,3738,1071,270,202
81.34,18.66,SAARLAND,49,4.26,2021-06-04T16:19:05Z,21,15,71.43,401,92,5.411764705882353,493,255,24,17
85.33,14.67,BERLIN,75,10.66,2021-06-04T16:19:05Z,130,104,80.0,1041,179,4.365853658536586,1220,387,64,41
81.81,18.19,BRANDENBURG,47,3.95,2021-06-04T16:19:05Z,28,19,67.86,580,129,2.5294117647058822,709,373,57,51
81.16,18.84,MECKLENBURG_VORPOMMERN,40,3.86,2021-06-04T16:19:05Z,26,17,65.38,547,127,4.096774193548387,674,222,41,31
83.29,16.71,SACHSEN,121,11.06,2021-06-04T16:19:05Z,176,111,63.07,1326,266,3.7464788732394365,1592,627,95,71
82.37,17.63,SACHSEN_ANHALT,59,3.95,2021-06-04T16:19:05Z,35,22,62.86,729,156,3.8048780487804876,885,349,55,41
81.0,19.0,THUERINGEN,70,9.99,2021-06-04T16:19:05Z,72,52,72.22,584,137,3.8055555555555554,721,336,44,36
