"bettenBelegtToBettenGesamtPercent","bettenFreiToBettenGesamtPercent",bundesland,"covidToIntensivBettenPercent",creationTimestamp,faelleCovidAktuell,"faelleCovidAktuellBeatmet","faelleCovidAktuellBeatmetToCovidAktuellPercent",intensivBettenBelegt,intensivBettenFrei,intensivBettenGesamt,intensivBettenNotfall7d,meldebereichAnz
70.95,29.05,SCHLESWIG_HOLSTEIN,2.8,2020-12-03T17:19:06Z,24,12,50.0,608,249,857,428,39
83.4,16.6,HAMBURG,12.48,2020-12-03T17:19:06Z,88,55,62.5,588,117,705,345,34
76.76,23.24,NIEDERSACHSEN,8.02,2020-12-03T17:19:06Z,184,105,57.07,1760,533,2293,1054,151
79.74,20.26,BREMEN,14.1,2020-12-03T17:19:06Z,32,28,87.5,181,46,227,135,14
81.31,18.69,NORDRHEIN_WESTFALEN,14.51,2020-12-03T17:19:06Z,949,580,61.12,5318,1222,6540,2569,404
86.13,13.87,HESSEN,16.66,2020-12-03T17:19:06Z,346,217,62.72,1789,288,2077,902,117
74.05,25.95,RHEINLAND_PFALZ,14.87,2020-12-03T17:19:06Z,184,100,54.35,916,321,1237,455,94
80.7,19.3,BADEN_WUERTTEMBERG,14.26,2020-12-03T17:19:06Z,425,262,61.65,2405,575,2980,1523,182
83.34,16.66,BAYERN,16.83,2020-12-03T17:19:06Z,668,406,60.78,3307,661,3968,1515,268
81.8,18.2,SAARLAND,15.0,2020-12-03T17:19:06Z,75,27,36.0,409,91,500,238,25
88.96,11.04,BERLIN,25.71,2020-12-03T17:19:06Z,326,228,69.94,1128,140,1268,427,64
79.69,20.31,BRANDENBURG,12.24,2020-12-03T17:19:06Z,94,55,58.51,612,156,768,407,56
79.18,20.82,MECKLENBURG_VORPOMMERN,3.97,2020-12-03T17:19:06Z,28,15,53.57,559,147,706,250,42
82.2,17.8,SACHSEN,26.08,2020-12-03T17:19:06Z,422,241,57.11,1330,288,1618,702,95
75.18,24.82,SACHSEN_ANHALT,5.03,2020-12-03T17:19:06Z,48,24,50.0,718,237,955,403,56
78.98,21.02,THUERINGEN,10.81,2020-12-03T17:19:06Z,89,36,40.45,650,173,823,409,45
