"bettenBelegtToBettenGesamtPercent","bettenFreiToBettenGesamtPercent",bundesland,"covidToIntensivBettenPercent",creationTimestamp,faelleCovidAktuell,"faelleCovidAktuellBeatmet","faelleCovidAktuellBeatmetToCovidAktuellPercent",intensivBettenBelegt,intensivBettenFrei,intensivBettenGesamt,intensivBettenNotfall7d,meldebereichAnz
74.81,25.19,SCHLESWIG_HOLSTEIN,8.74,2021-01-09T17:19:13Z,68,44,64.71,582,196,778,472,39
83.36,16.64,HAMBURG,16.34,2021-01-09T17:19:13Z,110,72,65.45,561,112,673,329,34
78.74,21.26,NIEDERSACHSEN,12.51,2021-01-09T17:19:13Z,273,141,51.65,1719,464,2183,1033,153
83.02,16.98,BREMEN,15.57,2021-01-09T17:19:13Z,33,16,48.48,176,36,212,142,14
84.89,15.11,NORDRHEIN_WESTFALEN,15.97,2021-01-09T17:19:13Z,1022,605,59.2,5431,967,6398,2449,404
85.38,14.62,HESSEN,23.08,2021-01-09T17:19:13Z,480,272,56.67,1776,304,2080,840,118
75.27,24.73,RHEINLAND_PFALZ,17.34,2021-01-09T17:19:13Z,211,99,46.92,916,301,1217,432,94
82.97,17.03,BADEN_WUERTTEMBERG,20.88,2021-01-09T17:19:13Z,596,357,59.9,2368,486,2854,1396,183
84.74,15.26,BAYERN,22.67,2021-01-09T17:19:13Z,869,502,57.77,3249,585,3834,1161,269
80.89,19.11,SAARLAND,15.9,2021-01-09T17:19:13Z,79,32,40.51,402,95,497,255,24
88.87,11.13,BERLIN,32.92,2021-01-09T17:19:13Z,423,288,68.09,1142,143,1285,380,64
83.23,16.77,BRANDENBURG,29.48,2021-01-09T17:19:13Z,232,104,44.83,655,132,787,325,56
78.87,21.13,MECKLENBURG_VORPOMMERN,12.2,2021-01-09T17:19:13Z,86,40,46.51,556,149,705,233,42
79.75,20.25,SACHSEN,31.89,2021-01-09T17:19:13Z,515,263,51.07,1288,327,1615,619,94
83.44,16.56,SACHSEN_ANHALT,22.33,2021-01-09T17:19:13Z,205,125,60.98,766,152,918,353,56
85.31,14.69,THUERINGEN,26.05,2021-01-09T17:19:13Z,204,113,55.39,668,115,783,349,45
