"bettenBelegtToBettenGesamtPercent","bettenFreiToBettenGesamtPercent",bundesland,covidKapazitaetFrei,"covidToIntensivBettenPercent",creationTimestamp,faelleCovidAktuell,"faelleCovidAktuellBeatmet","faelleCovidAktuellBeatmetToCovidAktuellPercent",intensivBettenBelegt,intensivBettenFrei,"intensivBettenFreiProStandort",intensivBettenGesamt,intensivBettenNotfall7d,meldebereichAnz,standortAnzahl
72.76,27.24,SCHLESWIG_HOLSTEIN,74,2.94,2021-06-01T16:19:09Z,23,20,86.96,569,213,6.65625,782,475,39,32
82.52,17.48,HAMBURG,37,6.84,2021-06-01T16:19:09Z,45,39,86.67,543,115,4.791666666666667,658,316,34,24
79.2,20.8,NIEDERSACHSEN,153,6.33,2021-06-01T16:19:09Z,140,90,64.29,1752,460,3.9316239316239314,2212,1041,152,117
85.85,14.15,BREMEN,21,11.22,2021-06-01T16:19:09Z,23,18,78.26,176,29,2.4166666666666665,205,126,13,12
85.16,14.84,NORDRHEIN_WESTFALEN,447,7.6,2021-06-01T16:19:09Z,482,339,70.33,5404,942,3.0784313725490198,6346,2465,407,306
86.03,13.97,HESSEN,115,10.16,2021-06-01T16:19:09Z,205,105,51.22,1736,282,3.0,2018,728,114,94
77.6,22.4,RHEINLAND_PFALZ,122,7.67,2021-06-01T16:19:09Z,90,56,62.22,911,263,3.506666666666667,1174,455,94,75
82.7,17.3,BADEN_WUERTTEMBERG,242,11.94,2021-06-01T16:19:09Z,334,199,59.58,2314,484,3.872,2798,1361,182,125
84.48,15.52,BAYERN,310,9.71,2021-06-01T16:19:09Z,363,220,60.61,3157,580,2.871287128712871,3737,1077,270,202
84.68,15.32,SAARLAND,41,5.65,2021-06-01T16:19:09Z,28,17,60.71,420,76,4.470588235294118,496,257,24,17
83.58,16.42,BERLIN,85,11.85,2021-06-01T16:19:09Z,145,110,75.86,1023,201,4.902439024390244,1224,385,64,41
81.86,18.14,BRANDENBURG,49,4.99,2021-06-01T16:19:09Z,36,22,61.11,591,131,2.5686274509803924,722,366,57,51
81.38,18.62,MECKLENBURG_VORPOMMERN,45,4.69,2021-06-01T16:19:09Z,32,20,62.5,555,127,3.96875,682,226,42,32
83.94,16.06,SACHSEN,106,12.88,2021-06-01T16:19:09Z,206,132,64.08,1343,257,3.619718309859155,1600,632,95,71
83.16,16.84,SACHSEN_ANHALT,61,5.23,2021-06-01T16:19:09Z,46,30,65.22,731,148,3.6097560975609757,879,349,55,41
81.01,18.99,THUERINGEN,69,11.81,2021-06-01T16:19:09Z,84,57,67.86,576,135,3.75,711,337,44,36
