"bettenBelegtToBettenGesamtPercent","bettenFreiToBettenGesamtPercent",bundesland,covidKapazitaetFrei,"covidToIntensivBettenPercent",creationTimestamp,faelleCovidAktuell,"faelleCovidAktuellBeatmet","faelleCovidAktuellBeatmetToCovidAktuellPercent",intensivBettenBelegt,intensivBettenFrei,"intensivBettenFreiProStandort",intensivBettenGesamt,intensivBettenNotfall7d,meldebereichAnz,standortAnzahl
74.97,25.03,SCHLESWIG_HOLSTEIN,67,6.65,2021-04-18T16:19:06Z,51,30,58.82,575,192,6.0,767,477,39,32
83.11,16.89,HAMBURG,33,16.89,2021-04-18T16:19:06Z,111,65,58.56,546,111,4.625,657,335,34,24
81.66,18.34,NIEDERSACHSEN,149,14.74,2021-04-18T16:19:06Z,312,180,57.69,1728,388,3.288135593220339,2116,1047,153,118
85.92,14.08,BREMEN,8,25.73,2021-04-18T16:19:06Z,53,34,64.15,177,29,2.4166666666666665,206,130,14,12
85.69,14.31,NORDRHEIN_WESTFALEN,378,16.19,2021-04-18T16:19:06Z,1033,606,58.66,5467,913,2.9836601307189543,6380,2455,407,306
87.08,12.92,HESSEN,84,21.05,2021-04-18T16:19:06Z,440,216,49.09,1820,270,2.8125,2090,794,116,96
76.19,23.81,RHEINLAND_PFALZ,112,15.59,2021-04-18T16:19:06Z,186,84,45.16,909,284,3.7866666666666666,1193,452,94,75
83.74,16.26,BADEN_WUERTTEMBERG,222,19.42,2021-04-18T16:19:06Z,547,282,51.55,2359,458,3.693548387096774,2817,1378,181,124
83.39,16.61,BAYERN,265,20.16,2021-04-18T16:19:06Z,767,442,57.63,3172,632,3.128712871287129,3804,1108,270,202
80.61,19.39,SAARLAND,46,13.47,2021-04-18T16:19:06Z,66,28,42.42,395,95,5.588235294117647,490,257,24,17
87.79,12.21,BERLIN,66,24.98,2021-04-18T16:19:06Z,311,220,70.74,1093,152,3.707317073170732,1245,386,64,41
79.81,20.19,BRANDENBURG,65,20.19,2021-04-18T16:19:06Z,151,81,53.64,597,151,2.9607843137254903,748,339,57,51
78.34,21.66,MECKLENBURG_VORPOMMERN,40,10.09,2021-04-18T16:19:06Z,68,37,54.41,528,146,4.709677419354839,674,223,41,31
86.25,13.75,SACHSEN,70,25.16,2021-04-18T16:19:06Z,399,235,58.9,1368,218,3.0704225352112675,1586,634,94,71
84.26,15.74,SACHSEN_ANHALT,50,15.97,2021-04-18T16:19:06Z,141,64,45.39,744,139,3.3902439024390243,883,343,55,41
83.53,16.47,THUERINGEN,45,28.19,2021-04-18T16:19:06Z,214,121,56.54,634,125,3.4722222222222223,759,335,44,36
