"bettenBelegtToBettenGesamtPercent","bettenFreiToBettenGesamtPercent",bundesland,"covidToIntensivBettenPercent",creationTimestamp,faelleCovidAktuell,"faelleCovidAktuellBeatmet","faelleCovidAktuellBeatmetToCovidAktuellPercent",intensivBettenBelegt,intensivBettenFrei,intensivBettenGesamt,intensivBettenNotfall7d,meldebereichAnz
73.82,26.18,SCHLESWIG_HOLSTEIN,8.81,2021-01-04T17:19:10Z,69,38,55.07,578,205,783,468,39
82.42,17.58,HAMBURG,18.5,2021-01-04T17:19:10Z,121,70,57.85,539,115,654,340,34
77.76,22.24,NIEDERSACHSEN,12.15,2021-01-04T17:19:10Z,265,148,55.85,1696,485,2181,1036,151
84.86,15.14,BREMEN,12.84,2021-01-04T17:19:10Z,28,22,78.57,185,33,218,144,14
83.39,16.61,NORDRHEIN_WESTFALEN,18.03,2021-01-04T17:19:10Z,1150,639,55.57,5320,1060,6380,2474,404
86.18,13.82,HESSEN,24.9,2021-01-04T17:19:10Z,517,278,53.77,1789,287,2076,836,118
73.84,26.16,RHEINLAND_PFALZ,18.73,2021-01-04T17:19:10Z,222,117,52.7,875,310,1185,441,94
82.66,17.34,BADEN_WUERTTEMBERG,22.32,2021-01-04T17:19:10Z,637,372,58.4,2359,495,2854,1382,183
84.92,15.08,BAYERN,23.75,2021-01-04T17:19:10Z,904,517,57.19,3232,574,3806,1158,270
81.64,18.36,SAARLAND,17.56,2021-01-04T17:19:10Z,88,37,42.05,409,92,501,247,25
88.17,11.83,BERLIN,35.58,2021-01-04T17:19:10Z,454,293,64.54,1125,151,1276,386,64
85.12,14.88,BRANDENBURG,31.2,2021-01-04T17:19:10Z,239,128,53.56,652,114,766,322,56
80.47,19.53,MECKLENBURG_VORPOMMERN,13.53,2021-01-04T17:19:10Z,97,40,41.24,577,140,717,230,42
79.28,20.72,SACHSEN,33.67,2021-01-04T17:19:10Z,541,277,51.2,1274,333,1607,619,94
82.91,17.09,SACHSEN_ANHALT,22.6,2021-01-04T17:19:10Z,205,117,57.07,752,155,907,364,56
82.05,17.95,THUERINGEN,28.08,2021-01-04T17:19:10Z,219,123,56.16,640,140,780,363,45
