"bettenBelegtToBettenGesamtPercent","bettenFreiToBettenGesamtPercent",bundesland,covidKapazitaetFrei,"covidToIntensivBettenPercent",creationTimestamp,faelleCovidAktuell,"faelleCovidAktuellBeatmet","faelleCovidAktuellBeatmetToCovidAktuellPercent",intensivBettenBelegt,intensivBettenFrei,intensivBettenGesamt,intensivBettenNotfall7d,meldebereichAnz
80.36,19.64,SCHLESWIG_HOLSTEIN,62,8.86,2021-02-19T17:19:05Z,69,41,59.42,626,153,779,475,39
82.92,17.08,HAMBURG,38,11.29,2021-02-19T17:19:05Z,78,38,48.72,573,118,691,323,34
82.78,17.22,NIEDERSACHSEN,177,9.67,2021-02-19T17:19:05Z,211,112,53.08,1807,376,2183,1050,153
83.49,16.51,BREMEN,16,14.22,2021-02-19T17:19:05Z,31,23,74.19,182,36,218,137,14
84.81,15.19,NORDRHEIN_WESTFALEN,486,9.88,2021-02-19T17:19:05Z,632,367,58.07,5425,972,6397,2505,404
87.56,12.44,HESSEN,120,14.36,2021-02-19T17:19:05Z,299,153,51.17,1823,259,2082,788,115
77.42,22.58,RHEINLAND_PFALZ,115,8.83,2021-02-19T17:19:05Z,106,58,54.72,929,271,1200,449,94
83.37,16.63,BADEN_WUERTTEMBERG,260,9.17,2021-02-19T17:19:05Z,262,158,60.31,2381,475,2856,1387,183
84.32,15.68,BAYERN,342,12.82,2021-02-19T17:19:05Z,494,290,58.7,3249,604,3853,1121,270
82.91,17.09,SAARLAND,57,10.22,2021-02-19T17:19:05Z,52,26,50.0,422,87,509,247,24
86.58,13.42,BERLIN,69,20.33,2021-02-19T17:19:05Z,259,162,62.55,1103,171,1274,388,64
80.72,19.28,BRANDENBURG,72,17.08,2021-02-19T17:19:05Z,132,67,50.76,624,149,773,351,57
78.47,21.53,MECKLENBURG_VORPOMMERN,65,7.23,2021-02-19T17:19:05Z,50,25,50.0,543,149,692,255,42
74.72,25.28,SACHSEN,132,13.78,2021-02-19T17:19:05Z,224,121,54.02,1215,411,1626,643,94
83.26,16.74,SACHSEN_ANHALT,70,10.72,2021-02-19T17:19:05Z,98,52,53.06,761,153,914,343,55
85.44,14.56,THUERINGEN,62,16.78,2021-02-19T17:19:05Z,129,68,52.71,657,112,769,358,45
