"bettenBelegtToBettenGesamtPercent","bettenFreiToBettenGesamtPercent",bundesland,"covidToIntensivBettenPercent",creationTimestamp,faelleCovidAktuell,"faelleCovidAktuellBeatmet","faelleCovidAktuellBeatmetToCovidAktuellPercent",intensivBettenBelegt,intensivBettenFrei,intensivBettenGesamt,intensivBettenNotfall7d,meldebereichAnz
74.55,25.45,SCHLESWIG_HOLSTEIN,10.0,2021-01-17T17:19:08Z,77,42,54.55,574,196,770,479,39
77.54,22.46,HAMBURG,14.42,2021-01-17T17:19:08Z,95,55,57.89,511,148,659,335,34
77.51,22.49,NIEDERSACHSEN,13.0,2021-01-17T17:19:08Z,281,144,51.25,1675,486,2161,1036,152
84.43,15.57,BREMEN,13.21,2021-01-17T17:19:08Z,28,17,60.71,179,33,212,145,14
83.21,16.79,NORDRHEIN_WESTFALEN,14.02,2021-01-17T17:19:08Z,903,527,58.36,5358,1081,6439,2474,406
85.31,14.69,HESSEN,21.16,2021-01-17T17:19:08Z,438,246,56.16,1766,304,2070,835,117
76.45,23.55,RHEINLAND_PFALZ,16.61,2021-01-17T17:19:08Z,201,103,51.24,925,285,1210,438,94
83.46,16.54,BADEN_WUERTTEMBERG,18.19,2021-01-17T17:19:08Z,519,301,58.0,2382,472,2854,1387,183
82.49,17.51,BAYERN,20.44,2021-01-17T17:19:08Z,787,464,58.96,3176,674,3850,1139,270
80.35,19.65,SAARLAND,19.08,2021-01-17T17:19:08Z,99,45,45.45,417,102,519,238,24
84.47,15.53,BERLIN,29.98,2021-01-17T17:19:08Z,388,269,69.33,1093,201,1294,387,64
81.64,18.36,BRANDENBURG,28.78,2021-01-17T17:19:08Z,221,99,44.8,627,141,768,331,56
76.36,23.64,MECKLENBURG_VORPOMMERN,12.59,2021-01-17T17:19:08Z,90,35,38.89,546,169,715,223,42
76.99,23.01,SACHSEN,29.1,2021-01-17T17:19:08Z,468,262,55.98,1238,370,1608,625,93
84.0,16.0,SACHSEN_ANHALT,21.74,2021-01-17T17:19:08Z,197,113,57.36,761,145,906,344,55
80.38,19.63,THUERINGEN,22.38,2021-01-17T17:19:08Z,179,110,61.45,643,157,800,343,45
