"bettenBelegtToBettenGesamtPercent","bettenFreiToBettenGesamtPercent",bundesland,"covidToIntensivBettenPercent",creationTimestamp,faelleCovidAktuell,"faelleCovidAktuellBeatmet","faelleCovidAktuellBeatmetToCovidAktuellPercent",intensivBettenBelegt,intensivBettenFrei,intensivBettenGesamt,intensivBettenNotfall7d,meldebereichAnz
71.74,28.26,SCHLESWIG_HOLSTEIN,8.9,2021-01-10T17:19:05Z,69,42,60.87,556,219,775,472,39
78.52,21.48,HAMBURG,16.04,2021-01-10T17:19:05Z,106,68,64.15,519,142,661,344,34
77.27,22.73,NIEDERSACHSEN,12.5,2021-01-10T17:19:05Z,270,143,52.96,1669,491,2160,1045,153
81.43,18.57,BREMEN,14.76,2021-01-10T17:19:05Z,31,15,48.39,171,39,210,141,14
83.74,16.26,NORDRHEIN_WESTFALEN,15.76,2021-01-10T17:19:05Z,1006,599,59.54,5346,1038,6384,2469,404
84.41,15.59,HESSEN,23.29,2021-01-10T17:19:05Z,484,285,58.88,1754,324,2078,841,118
72.97,27.03,RHEINLAND_PFALZ,16.6,2021-01-10T17:19:05Z,202,100,49.5,888,329,1217,426,94
82.32,17.68,BADEN_WUERTTEMBERG,20.1,2021-01-10T17:19:05Z,573,353,61.61,2347,504,2851,1398,183
82.74,17.26,BAYERN,22.42,2021-01-10T17:19:05Z,857,493,57.53,3163,660,3823,1160,269
79.27,20.73,SAARLAND,16.26,2021-01-10T17:19:05Z,80,32,40.0,390,102,492,259,24
88.07,11.93,BERLIN,32.61,2021-01-10T17:19:05Z,418,286,68.42,1129,153,1282,380,64
81.67,18.33,BRANDENBURG,29.49,2021-01-10T17:19:05Z,230,102,44.35,637,143,780,325,56
76.99,23.01,MECKLENBURG_VORPOMMERN,11.65,2021-01-10T17:19:05Z,82,40,48.78,542,162,704,234,42
77.36,22.64,SACHSEN,31.02,2021-01-10T17:19:05Z,500,259,51.8,1247,365,1612,622,94
84.35,15.65,SACHSEN_ANHALT,22.65,2021-01-10T17:19:05Z,207,117,56.52,771,143,914,355,56
83.42,16.58,THUERINGEN,25.96,2021-01-10T17:19:05Z,202,114,56.44,649,129,778,353,45
