"bettenBelegtToBettenGesamtPercent","bettenFreiToBettenGesamtPercent",bundesland,covidKapazitaetFrei,"covidToIntensivBettenPercent",creationTimestamp,faelleCovidAktuell,"faelleCovidAktuellBeatmet","faelleCovidAktuellBeatmetToCovidAktuellPercent",intensivBettenBelegt,intensivBettenFrei,intensivBettenGesamt,intensivBettenNotfall7d,meldebereichAnz
80.99,19.01,SCHLESWIG_HOLSTEIN,63,9.69,2021-02-25T23:19:12Z,76,56,73.68,635,149,784,480,39
85.55,14.45,HAMBURG,33,12.85,2021-02-25T23:19:12Z,88,52,59.09,586,99,685,329,34
83.27,16.73,NIEDERSACHSEN,181,9.02,2021-02-25T23:19:12Z,200,120,60.0,1846,371,2217,1028,153
89.87,10.13,BREMEN,13,13.66,2021-02-25T23:19:12Z,31,20,64.52,204,23,227,134,14
84.89,15.11,NORDRHEIN_WESTFALEN,496,9.11,2021-02-25T23:19:12Z,586,335,57.17,5461,972,6433,2525,406
85.41,14.59,HESSEN,143,12.84,2021-02-25T23:19:12Z,272,140,51.47,1809,309,2118,818,116
74.22,25.78,RHEINLAND_PFALZ,129,8.54,2021-02-25T23:19:12Z,104,61,58.65,904,314,1218,453,94
83.98,16.02,BADEN_WUERTTEMBERG,260,8.34,2021-02-25T23:19:12Z,239,137,57.32,2407,459,2866,1401,183
84.13,15.87,BAYERN,324,12.05,2021-02-25T23:19:12Z,463,275,59.4,3233,610,3843,1082,270
83.43,16.57,SAARLAND,59,9.16,2021-02-25T23:19:12Z,47,28,59.57,428,85,513,246,24
87.25,12.75,BERLIN,74,17.13,2021-02-25T23:19:12Z,215,158,73.49,1095,160,1255,386,64
80.94,19.06,BRANDENBURG,77,14.36,2021-02-25T23:19:12Z,110,66,60.0,620,146,766,342,57
77.94,22.06,MECKLENBURG_VORPOMMERN,58,6.3,2021-02-25T23:19:12Z,44,23,52.27,544,154,698,247,42
74.09,25.91,SACHSEN,138,11.85,2021-02-25T23:19:12Z,193,106,54.92,1207,422,1629,647,94
85.78,14.22,SACHSEN_ANHALT,57,10.58,2021-02-25T23:19:12Z,96,59,61.46,778,129,907,341,55
86.08,13.92,THUERINGEN,53,16.88,2021-02-25T23:19:12Z,131,69,52.67,668,108,776,369,45
