"bettenBelegtToBettenGesamtPercent","bettenFreiToBettenGesamtPercent",bundesland,"covidToIntensivBettenPercent",creationTimestamp,faelleCovidAktuell,"faelleCovidAktuellBeatmet","faelleCovidAktuellBeatmetToCovidAktuellPercent",intensivBettenBelegt,intensivBettenFrei,intensivBettenGesamt,intensivBettenNotfall7d,meldebereichAnz
77.66,22.34,SCHLESWIG_HOLSTEIN,12.08,2021-02-02T17:19:09Z,93,61,65.59,598,172,770,483,39
82.89,17.11,HAMBURG,12.28,2021-02-02T17:19:09Z,84,51,60.71,567,117,684,322,34
81.76,18.24,NIEDERSACHSEN,11.81,2021-02-02T17:19:09Z,263,149,56.65,1820,406,2226,1039,153
85.39,14.61,BREMEN,19.18,2021-02-02T17:19:09Z,42,25,59.52,187,32,219,138,14
85.68,14.32,NORDRHEIN_WESTFALEN,12.32,2021-02-02T17:19:09Z,800,435,54.37,5563,930,6493,2525,406
87.16,12.84,HESSEN,18.88,2021-02-02T17:19:09Z,400,198,49.5,1847,272,2119,815,117
77.15,22.85,RHEINLAND_PFALZ,14.43,2021-02-02T17:19:09Z,173,88,50.87,925,274,1199,437,94
84.33,15.67,BADEN_WUERTTEMBERG,13.76,2021-02-02T17:19:09Z,395,220,55.7,2421,450,2871,1381,183
84.86,15.14,BAYERN,17.04,2021-02-02T17:19:09Z,655,361,55.11,3263,582,3845,1123,269
85.77,14.23,SAARLAND,17.35,2021-02-02T17:19:09Z,89,44,49.44,440,73,513,241,24
87.0,13.0,BERLIN,25.99,2021-02-02T17:19:09Z,334,237,70.96,1118,167,1285,381,64
78.93,21.07,BRANDENBURG,23.17,2021-02-02T17:19:09Z,177,79,44.63,603,161,764,337,56
79.83,20.17,MECKLENBURG_VORPOMMERN,10.92,2021-02-02T17:19:09Z,78,34,43.59,570,144,714,240,42
75.14,24.86,SACHSEN,20.94,2021-02-02T17:19:09Z,337,183,54.3,1209,400,1609,637,94
87.39,12.61,SACHSEN_ANHALT,18.53,2021-02-02T17:19:09Z,166,105,63.25,783,113,896,363,55
82.65,17.35,THUERINGEN,20.97,2021-02-02T17:19:09Z,168,86,51.19,662,139,801,350,45
