"bettenBelegtToBettenGesamtPercent","bettenFreiToBettenGesamtPercent",bundesland,covidKapazitaetFrei,"covidToIntensivBettenPercent",creationTimestamp,faelleCovidAktuell,"faelleCovidAktuellBeatmet","faelleCovidAktuellBeatmetToCovidAktuellPercent",intensivBettenBelegt,intensivBettenFrei,intensivBettenGesamt,intensivBettenNotfall7d,meldebereichAnz
78.93,21.07,SCHLESWIG_HOLSTEIN,63,9.2,2021-02-22T17:19:09Z,72,47,65.28,618,165,783,479,39
80.18,19.82,HAMBURG,42,11.24,2021-02-22T17:19:09Z,76,42,55.26,542,134,676,337,34
81.49,18.51,NIEDERSACHSEN,193,9.28,2021-02-22T17:19:09Z,204,124,60.78,1792,407,2199,1041,153
86.88,13.12,BREMEN,17,13.12,2021-02-22T17:19:09Z,29,18,62.07,192,29,221,136,14
84.02,15.98,NORDRHEIN_WESTFALEN,494,9.73,2021-02-22T17:19:09Z,623,358,57.46,5380,1023,6403,2516,404
85.41,14.59,HESSEN,132,14.16,2021-02-22T17:19:09Z,295,162,54.92,1780,304,2084,784,115
75.06,24.94,RHEINLAND_PFALZ,113,9.31,2021-02-22T17:19:09Z,112,66,58.93,903,300,1203,442,94
80.72,19.28,BADEN_WUERTTEMBERG,281,8.68,2021-02-22T17:19:09Z,249,146,58.63,2316,553,2869,1383,183
81.71,18.29,BAYERN,345,12.39,2021-02-22T17:19:09Z,472,282,59.75,3114,697,3811,1134,270
82.19,17.81,SAARLAND,55,10.76,2021-02-22T17:19:09Z,55,30,54.55,420,91,511,245,24
85.62,14.38,BERLIN,83,18.4,2021-02-22T17:19:09Z,233,162,69.53,1084,182,1266,384,64
75.88,24.12,BRANDENBURG,79,15.6,2021-02-22T17:19:09Z,119,61,51.26,579,184,763,352,57
76.85,23.15,MECKLENBURG_VORPOMMERN,67,7.67,2021-02-22T17:19:09Z,53,21,39.62,531,160,691,257,42
72.48,27.52,SACHSEN,141,13.92,2021-02-22T17:19:09Z,226,121,53.54,1177,447,1624,645,94
83.39,16.61,SACHSEN_ANHALT,72,11.66,2021-02-22T17:19:09Z,106,63,59.43,758,151,909,343,55
83.96,16.04,THUERINGEN,56,17.6,2021-02-22T17:19:09Z,135,75,55.56,644,123,767,359,45
