"bettenBelegtToBettenGesamtPercent","bettenFreiToBettenGesamtPercent",bundesland,"covidToIntensivBettenPercent",creationTimestamp,faelleCovidAktuell,"faelleCovidAktuellBeatmet","faelleCovidAktuellBeatmetToCovidAktuellPercent",intensivBettenBelegt,intensivBettenFrei,intensivBettenGesamt,intensivBettenNotfall7d,meldebereichAnz
79.1,20.9,SCHLESWIG_HOLSTEIN,12.43,2021-01-30T17:22:56Z,94,53,56.38,598,158,756,489,39
83.16,16.84,HAMBURG,12.56,2021-01-30T17:22:56Z,85,52,61.18,563,114,677,326,34
82.57,17.43,NIEDERSACHSEN,12.49,2021-01-30T17:22:56Z,271,146,53.87,1791,378,2169,1053,153
84.31,15.69,BREMEN,16.67,2021-01-30T17:22:56Z,34,26,76.47,172,32,204,136,14
84.79,15.21,NORDRHEIN_WESTFALEN,12.69,2021-01-30T17:22:56Z,818,432,52.81,5467,981,6448,2547,406
87.55,12.45,HESSEN,18.77,2021-01-30T17:22:56Z,389,184,47.3,1815,258,2073,818,116
75.29,24.71,RHEINLAND_PFALZ,14.57,2021-01-30T17:22:56Z,174,90,51.72,899,295,1194,450,94
82.69,17.31,BADEN_WUERTTEMBERG,14.55,2021-01-30T17:22:56Z,417,235,56.35,2370,496,2866,1371,183
85.43,14.57,BAYERN,17.36,2021-01-30T17:22:56Z,665,374,56.24,3273,558,3831,1131,269
82.39,17.61,SAARLAND,16.63,2021-01-30T17:22:56Z,85,35,41.18,421,90,511,242,24
87.69,12.31,BERLIN,27.44,2021-01-30T17:22:56Z,352,248,70.45,1125,158,1283,381,64
77.43,22.57,BRANDENBURG,22.83,2021-01-30T17:22:56Z,176,87,49.43,597,174,771,342,56
80.36,19.64,MECKLENBURG_VORPOMMERN,11.76,2021-01-30T17:22:56Z,85,32,37.65,581,142,723,232,42
76.02,23.98,SACHSEN,22.44,2021-01-30T17:22:56Z,363,203,55.92,1230,388,1618,636,94
85.4,14.6,SACHSEN_ANHALT,19.65,2021-01-30T17:22:56Z,179,105,58.66,778,133,911,346,55
84.02,15.98,THUERINGEN,20.85,2021-01-30T17:22:56Z,167,92,55.09,673,128,801,347,45
