"bettenBelegtToBettenGesamtPercent","bettenFreiToBettenGesamtPercent",bundesland,"covidToIntensivBettenPercent",creationTimestamp,faelleCovidAktuell,"faelleCovidAktuellBeatmet","faelleCovidAktuellBeatmetToCovidAktuellPercent",intensivBettenBelegt,intensivBettenFrei,intensivBettenGesamt,intensivBettenNotfall7d,meldebereichAnz
72.65,27.35,SCHLESWIG_HOLSTEIN,2.58,2020-11-27T17:19:04Z,22,12,54.55,619,233,852,432,39
79.69,20.31,HAMBURG,11.42,2020-11-27T17:19:04Z,81,53,65.43,565,144,709,345,34
77.08,22.92,NIEDERSACHSEN,8.1,2020-11-27T17:19:04Z,187,108,57.75,1779,529,2308,1059,152
83.04,16.96,BREMEN,15.22,2020-11-27T17:19:04Z,35,21,60.0,191,39,230,130,14
82.3,17.7,NORDRHEIN_WESTFALEN,14.58,2020-11-27T17:19:04Z,953,595,62.43,5381,1157,6538,2560,404
86.91,13.09,HESSEN,17.02,2020-11-27T17:19:04Z,351,199,56.7,1792,270,2062,929,118
73.42,26.58,RHEINLAND_PFALZ,15.11,2020-11-27T17:19:04Z,187,115,61.5,909,329,1238,460,94
80.92,19.08,BADEN_WUERTTEMBERG,14.54,2020-11-27T17:19:04Z,439,251,57.18,2443,576,3019,1511,182
82.24,17.76,BAYERN,16.12,2020-11-27T17:19:04Z,638,393,61.6,3255,703,3958,1631,266
83.07,16.93,SAARLAND,12.55,2020-11-27T17:19:04Z,63,22,34.92,417,85,502,242,24
88.4,11.6,BERLIN,25.1,2020-11-27T17:19:04Z,318,210,66.04,1120,147,1267,422,64
78.65,21.35,BRANDENBURG,11.07,2020-11-27T17:19:04Z,85,47,55.29,604,164,768,409,56
77.4,22.6,MECKLENBURG_VORPOMMERN,4.72,2020-11-27T17:19:04Z,33,16,48.48,541,158,699,252,41
76.84,23.16,SACHSEN,21.32,2020-11-27T17:19:04Z,348,209,60.06,1254,378,1632,729,95
77.01,22.99,SACHSEN_ANHALT,5.67,2020-11-27T17:19:04Z,55,27,49.09,747,223,970,446,55
78.12,21.88,THUERINGEN,8.8,2020-11-27T17:19:04Z,74,34,45.95,657,184,841,423,45
