"bettenBelegtToBettenGesamtPercent","bettenFreiToBettenGesamtPercent",bundesland,covidKapazitaetFrei,"covidToIntensivBettenPercent",creationTimestamp,faelleCovidAktuell,"faelleCovidAktuellBeatmet","faelleCovidAktuellBeatmetToCovidAktuellPercent",intensivBettenBelegt,intensivBettenFrei,"intensivBettenFreiProStandort",intensivBettenGesamt,intensivBettenNotfall7d,meldebereichAnz,standortAnzahl
83.12,16.88,SCHLESWIG_HOLSTEIN,27,3.23,2022-06-25T16:05:23Z,23,8,34.78,591,120,3.870967741935484,711,475,41,31
79.79,20.21,HAMBURG,28,3.87,2022-06-25T16:05:23Z,22,9,40.91,454,115,4.791666666666667,569,320,34,24
83.23,16.77,NIEDERSACHSEN,109,2.63,2022-06-25T16:05:23Z,52,12,23.08,1643,331,2.8290598290598292,1974,951,150,117
88.71,11.29,BREMEN,1,4.84,2022-06-25T16:05:23Z,9,3,33.33,165,21,1.9090909090909092,186,75,13,11
86.86,13.14,NORDRHEIN_WESTFALEN,226,3.47,2022-06-25T16:05:23Z,193,52,26.94,4833,731,2.4863945578231292,5564,2008,390,294
87.94,12.06,HESSEN,34,3.35,2022-06-25T16:05:23Z,63,13,20.63,1655,227,2.4148936170212765,1882,637,112,94
80.05,19.95,RHEINLAND_PFALZ,50,3.16,2022-06-25T16:05:23Z,35,10,28.57,887,221,3.0694444444444446,1108,373,91,72
83.63,16.37,BADEN_WUERTTEMBERG,140,3.37,2022-06-25T16:05:23Z,88,28,31.82,2181,427,3.443548387096774,2608,1049,181,124
84.13,15.87,BAYERN,163,3.55,2022-06-25T16:05:23Z,124,39,31.45,2936,554,2.7839195979899496,3490,610,266,199
81.24,18.76,SAARLAND,24,3.97,2022-06-25T16:05:23Z,18,4,22.22,368,85,5.3125,453,246,23,16
88.88,11.12,BERLIN,22,4.47,2022-06-25T16:05:23Z,49,27,55.1,975,122,3.05,1097,307,67,40
82.4,17.6,BRANDENBURG,37,3.79,2022-06-25T16:05:23Z,25,12,48.0,543,116,2.32,659,335,56,50
79.91,20.09,MECKLENBURG_VORPOMMERN,36,2.28,2022-06-25T16:05:23Z,15,7,46.67,525,132,4.258064516129032,657,202,41,31
78.37,21.63,SACHSEN,69,2.67,2022-06-25T16:05:23Z,38,11,28.95,1116,308,4.4,1424,449,96,70
82.69,17.31,SACHSEN_ANHALT,33,2.63,2022-06-25T16:05:23Z,21,9,42.86,659,138,3.3658536585365852,797,321,54,41
82.47,17.53,THUERINGEN,47,2.5,2022-06-25T16:05:23Z,17,6,35.29,560,119,3.4,679,226,43,35
