"bettenBelegtToBettenGesamtPercent","bettenFreiToBettenGesamtPercent",bundesland,covidKapazitaetFrei,"covidToIntensivBettenPercent",creationTimestamp,faelleCovidAktuell,"faelleCovidAktuellBeatmet","faelleCovidAktuellBeatmetToCovidAktuellPercent",intensivBettenBelegt,intensivBettenFrei,intensivBettenGesamt,intensivBettenNotfall7d,meldebereichAnz
80.0,20.0,SCHLESWIG_HOLSTEIN,61,9.17,2021-02-17T17:19:06Z,72,49,68.06,628,157,785,477,39
81.34,18.66,HAMBURG,47,11.66,2021-02-17T17:19:06Z,80,40,50.0,558,128,686,325,34
82.34,17.66,NIEDERSACHSEN,194,9.7,2021-02-17T17:19:06Z,213,116,54.46,1809,388,2197,1042,153
90.87,9.13,BREMEN,12,15.07,2021-02-17T17:19:06Z,33,22,66.67,199,20,219,138,14
85.18,14.82,NORDRHEIN_WESTFALEN,461,9.87,2021-02-17T17:19:06Z,636,378,59.43,5487,955,6442,2513,404
86.74,13.26,HESSEN,131,15.32,2021-02-17T17:19:06Z,320,167,52.19,1812,277,2089,777,115
78.57,21.43,RHEINLAND_PFALZ,108,9.87,2021-02-17T17:19:06Z,117,66,56.41,931,254,1185,445,94
82.12,17.88,BADEN_WUERTTEMBERG,302,9.71,2021-02-17T17:19:06Z,279,161,57.71,2360,514,2874,1372,183
83.98,16.02,BAYERN,329,13.44,2021-02-17T17:19:06Z,519,285,54.91,3244,619,3863,1115,270
84.57,15.43,SAARLAND,54,11.33,2021-02-17T17:19:06Z,58,30,51.72,433,79,512,248,24
86.7,13.3,BERLIN,74,20.5,2021-02-17T17:19:06Z,262,174,66.41,1108,170,1278,385,64
80.92,19.08,BRANDENBURG,82,17.63,2021-02-17T17:19:06Z,134,75,55.97,615,145,760,352,57
78.43,21.57,MECKLENBURG_VORPOMMERN,55,9.0,2021-02-17T17:19:06Z,63,30,47.62,549,151,700,244,42
73.7,26.3,SACHSEN,161,14.35,2021-02-17T17:19:06Z,234,129,55.13,1202,429,1631,635,94
81.6,18.4,SACHSEN_ANHALT,68,11.86,2021-02-17T17:19:06Z,107,58,54.21,736,166,902,347,55
85.79,14.21,THUERINGEN,47,16.67,2021-02-17T17:19:06Z,129,68,52.71,664,110,774,355,45
