"bettenBelegtToBettenGesamtPercent","bettenFreiToBettenGesamtPercent",bundesland,covidKapazitaetFrei,"covidToIntensivBettenPercent",creationTimestamp,faelleCovidAktuell,"faelleCovidAktuellBeatmet","faelleCovidAktuellBeatmetToCovidAktuellPercent",intensivBettenBelegt,intensivBettenFrei,"intensivBettenFreiProStandort",intensivBettenGesamt,intensivBettenNotfall7d,meldebereichAnz,standortAnzahl
82.25,17.75,SCHLESWIG_HOLSTEIN,50,6.5,2022-02-02T18:05:00Z,48,21,43.75,607,131,4.225806451612903,738,478,41,31
81.1,18.9,HAMBURG,12,13.06,2022-02-02T18:05:00Z,76,35,46.05,472,110,4.583333333333333,582,308,34,24
80.89,19.11,NIEDERSACHSEN,144,5.27,2022-02-02T18:05:00Z,112,59,52.68,1719,406,3.440677966101695,2125,973,153,118
92.79,7.21,BREMEN,6,11.54,2022-02-02T18:05:00Z,24,17,70.83,193,15,1.3636363636363635,208,82,13,11
86.35,13.65,NORDRHEIN_WESTFALEN,268,8.25,2022-02-02T18:05:00Z,496,238,47.98,5189,820,2.7333333333333334,6009,2007,399,300
87.28,12.72,HESSEN,61,10.4,2022-02-02T18:05:00Z,206,95,46.12,1729,252,2.6808510638297873,1981,626,114,94
80.16,19.84,RHEINLAND_PFALZ,65,7.35,2022-02-02T18:05:00Z,83,38,45.78,905,224,2.986666666666667,1129,369,95,75
85.37,14.63,BADEN_WUERTTEMBERG,140,10.36,2022-02-02T18:05:00Z,274,155,56.57,2259,387,3.0714285714285716,2646,1076,183,126
85.31,14.69,BAYERN,217,9.56,2022-02-02T18:05:00Z,345,156,45.22,3078,530,2.63681592039801,3608,601,268,201
83.2,16.8,SAARLAND,43,8.51,2022-02-02T18:05:00Z,41,13,31.71,401,81,5.0625,482,253,23,16
87.99,12.01,BERLIN,44,17.14,2022-02-02T18:05:00Z,194,124,63.92,996,136,3.317073170731707,1132,314,68,41
81.38,18.62,BRANDENBURG,51,11.03,2022-02-02T18:05:00Z,77,31,40.26,568,130,2.549019607843137,698,343,57,51
80.84,19.16,MECKLENBURG_VORPOMMERN,39,9.51,2022-02-02T18:05:00Z,66,38,57.58,561,133,4.15625,694,206,42,32
80.43,19.57,SACHSEN,81,10.05,2022-02-02T18:05:00Z,149,96,64.43,1192,290,4.084507042253521,1482,428,96,71
82.56,17.44,SACHSEN_ANHALT,65,7.13,2022-02-02T18:05:00Z,58,36,62.07,672,142,3.4634146341463414,814,315,55,41
78.97,21.03,THUERINGEN,57,9.3,2022-02-02T18:05:00Z,65,27,41.54,552,147,4.083333333333333,699,225,44,36
