"bettenBelegtToBettenGesamtPercent","bettenFreiToBettenGesamtPercent",bundesland,covidKapazitaetFrei,"covidToIntensivBettenPercent",creationTimestamp,faelleCovidAktuell,"faelleCovidAktuellBeatmet","faelleCovidAktuellBeatmetToCovidAktuellPercent",intensivBettenBelegt,intensivBettenFrei,"intensivBettenFreiProStandort",intensivBettenGesamt,intensivBettenNotfall7d,meldebereichAnz,standortAnzahl
83.19,16.81,SCHLESWIG_HOLSTEIN,48,7.28,2021-12-17T18:05:00Z,52,26,50.0,594,120,3.870967741935484,714,480,41,31
83.33,16.67,HAMBURG,38,10.07,2021-12-17T18:05:00Z,58,28,48.28,480,96,4.0,576,315,34,24
84.75,15.25,NIEDERSACHSEN,123,11.85,2021-12-17T18:05:00Z,248,142,57.26,1773,319,2.7033898305084745,2092,990,154,118
93.88,6.12,BREMEN,4,15.82,2021-12-17T18:05:00Z,31,22,70.97,184,12,1.0909090909090908,196,82,13,11
87.94,12.06,NORDRHEIN_WESTFALEN,265,12.53,2021-12-17T18:05:00Z,744,431,57.93,5223,716,2.370860927152318,5939,2016,398,302
89.93,10.07,HESSEN,70,14.74,2021-12-17T18:05:00Z,290,150,51.72,1769,198,2.106382978723404,1967,640,114,94
81.67,18.33,RHEINLAND_PFALZ,68,13.61,2021-12-17T18:05:00Z,150,83,55.33,900,202,2.6933333333333334,1102,376,95,75
88.43,11.57,BADEN_WUERTTEMBERG,128,23.29,2021-12-17T18:05:00Z,626,344,54.95,2377,311,2.4682539682539684,2688,1026,183,126
87.08,12.92,BAYERN,219,25.27,2021-12-17T18:05:00Z,917,563,61.4,3160,469,2.3333333333333335,3629,588,268,201
86.18,13.82,SAARLAND,24,17.76,2021-12-17T18:05:00Z,81,42,51.85,393,63,3.9375,456,269,23,16
88.57,11.43,BERLIN,54,19.76,2021-12-17T18:05:00Z,230,154,66.96,1031,133,3.2439024390243905,1164,308,66,41
82.5,17.5,BRANDENBURG,41,25.04,2021-12-17T18:05:00Z,176,78,44.32,580,123,2.411764705882353,703,336,57,51
84.71,15.29,MECKLENBURG_VORPOMMERN,33,15.29,2021-12-17T18:05:00Z,104,62,59.62,576,104,3.25,680,208,42,32
87.14,12.86,SACHSEN,59,37.75,2021-12-17T18:05:00Z,584,294,50.34,1348,199,2.8028169014084505,1547,415,96,71
86.85,13.15,SACHSEN_ANHALT,40,21.46,2021-12-17T18:05:00Z,168,103,61.31,680,103,2.5121951219512195,783,330,55,41
88.57,11.43,THUERINGEN,35,31.43,2021-12-17T18:05:00Z,220,126,57.27,620,80,2.2222222222222223,700,224,44,36
