"bettenBelegtToBettenGesamtPercent","bettenFreiToBettenGesamtPercent",bundesland,"covidToIntensivBettenPercent",creationTimestamp,faelleCovidAktuell,"faelleCovidAktuellBeatmet","faelleCovidAktuellBeatmetToCovidAktuellPercent",intensivBettenBelegt,intensivBettenFrei,intensivBettenGesamt,intensivBettenNotfall7d,meldebereichAnz
77.88,22.12,SCHLESWIG_HOLSTEIN,10.48,2021-01-19T17:19:06Z,81,45,55.56,602,171,773,482,39
83.55,16.45,HAMBURG,13.66,2021-01-19T17:19:06Z,93,59,63.44,569,112,681,324,34
80.36,19.64,NIEDERSACHSEN,12.44,2021-01-19T17:19:06Z,273,146,53.48,1764,431,2195,1009,153
84.35,15.65,BREMEN,12.61,2021-01-19T17:19:06Z,29,18,62.07,194,36,230,140,14
85.81,14.19,NORDRHEIN_WESTFALEN,14.08,2021-01-19T17:19:06Z,911,517,56.75,5552,918,6470,2449,406
86.82,13.18,HESSEN,20.75,2021-01-19T17:19:06Z,428,239,55.84,1791,272,2063,829,115
77.02,22.98,RHEINLAND_PFALZ,15.57,2021-01-19T17:19:06Z,189,110,58.2,935,279,1214,432,94
85.33,14.67,BADEN_WUERTTEMBERG,17.66,2021-01-19T17:19:06Z,509,299,58.74,2460,423,2883,1375,183
84.34,15.66,BAYERN,19.96,2021-01-19T17:19:06Z,771,452,58.63,3258,605,3863,1132,269
85.22,14.78,SAARLAND,18.62,2021-01-19T17:19:06Z,97,43,44.33,444,77,521,238,24
86.18,13.82,BERLIN,29.88,2021-01-19T17:19:06Z,387,283,73.13,1116,179,1295,382,64
81.91,18.09,BRANDENBURG,27.65,2021-01-19T17:19:06Z,214,102,47.66,634,140,774,331,56
79.81,20.19,MECKLENBURG_VORPOMMERN,13.97,2021-01-19T17:19:06Z,101,42,41.58,577,146,723,221,42
77.8,22.2,SACHSEN,29.15,2021-01-19T17:19:06Z,474,280,59.07,1265,361,1626,623,94
86.01,13.99,SACHSEN_ANHALT,21.42,2021-01-19T17:19:06Z,196,112,57.14,787,128,915,342,55
85.77,14.23,THUERINGEN,23.22,2021-01-19T17:19:06Z,186,112,60.22,687,114,801,356,45
