"bettenBelegtToBettenGesamtPercent","bettenFreiToBettenGesamtPercent",bundesland,covidKapazitaetFrei,"covidToIntensivBettenPercent",creationTimestamp,faelleCovidAktuell,"faelleCovidAktuellBeatmet","faelleCovidAktuellBeatmetToCovidAktuellPercent",intensivBettenBelegt,intensivBettenFrei,"intensivBettenFreiProStandort",intensivBettenGesamt,intensivBettenNotfall7d,meldebereichAnz,standortAnzahl
77.32,22.68,SCHLESWIG_HOLSTEIN,52,3.18,2021-10-02T16:15:10Z,24,13,54.17,583,171,5.516129032258065,754,462,38,31
86.14,13.86,HAMBURG,31,5.68,2021-10-02T16:15:10Z,34,21,61.76,516,83,3.608695652173913,599,315,33,23
83.55,16.45,NIEDERSACHSEN,124,5.04,2021-10-02T16:15:10Z,103,69,66.99,1706,336,2.847457627118644,2042,1093,153,118
93.1,6.9,BREMEN,3,13.22,2021-10-02T16:15:10Z,23,12,52.17,162,12,1.0909090909090908,174,128,12,11
85.47,14.53,NORDRHEIN_WESTFALEN,384,5.28,2021-10-02T16:15:10Z,315,201,63.81,5100,867,2.8803986710963456,5967,2485,397,301
86.74,13.26,HESSEN,63,5.36,2021-10-02T16:15:10Z,106,58,54.72,1714,262,2.7872340425531914,1976,776,114,94
79.62,20.38,RHEINLAND_PFALZ,83,5.72,2021-10-02T16:15:10Z,64,31,48.44,891,228,3.04,1119,436,94,75
83.72,16.28,BADEN_WUERTTEMBERG,216,6.73,2021-10-02T16:15:10Z,181,110,60.77,2253,438,3.532258064516129,2691,1372,181,124
84.47,15.53,BAYERN,258,7.15,2021-10-02T16:15:10Z,257,147,57.2,3035,558,2.79,3593,1079,267,200
78.53,21.47,SAARLAND,34,4.09,2021-10-02T16:15:10Z,20,10,50.0,384,105,6.5625,489,253,23,16
91.42,8.58,BERLIN,30,8.41,2021-10-02T16:15:10Z,97,64,65.98,1055,99,2.4146341463414633,1154,421,64,41
81.38,18.62,BRANDENBURG,35,3.69,2021-10-02T16:15:10Z,24,11,45.83,529,121,2.5208333333333335,650,381,54,48
83.21,16.79,MECKLENBURG_VORPOMMERN,51,2.06,2021-10-02T16:15:10Z,14,12,85.71,565,114,3.5625,679,236,42,32
81.32,18.68,SACHSEN,132,2.78,2021-10-02T16:15:10Z,40,19,47.5,1171,269,3.788732394366197,1440,767,95,71
83.25,16.75,SACHSEN_ANHALT,51,1.71,2021-10-02T16:15:10Z,14,7,50.0,681,137,3.425,818,342,54,40
79.77,20.23,THUERINGEN,61,2.28,2021-10-02T16:15:10Z,16,6,37.5,560,142,3.9444444444444446,702,335,44,36
