"bettenBelegtToBettenGesamtPercent","bettenFreiToBettenGesamtPercent",bundesland,covidKapazitaetFrei,"covidToIntensivBettenPercent",creationTimestamp,faelleCovidAktuell,"faelleCovidAktuellBeatmet","faelleCovidAktuellBeatmetToCovidAktuellPercent",intensivBettenBelegt,intensivBettenFrei,"intensivBettenFreiProStandort",intensivBettenGesamt,intensivBettenNotfall7d,meldebereichAnz,standortAnzahl
76.49,23.51,SCHLESWIG_HOLSTEIN,61,2.34,2021-06-09T16:19:12Z,18,13,72.22,589,181,5.838709677419355,770,463,38,31
79.07,20.93,HAMBURG,42,5.31,2021-06-09T16:19:12Z,33,27,81.82,491,130,5.909090909090909,621,278,32,22
82.44,17.56,NIEDERSACHSEN,168,3.62,2021-06-09T16:19:12Z,77,50,64.94,1756,374,3.1965811965811968,2130,1027,152,117
92.49,7.51,BREMEN,8,6.57,2021-06-09T16:19:12Z,14,8,57.14,197,16,1.3333333333333333,213,131,14,12
84.76,15.24,NORDRHEIN_WESTFALEN,454,5.22,2021-06-09T16:19:12Z,331,234,70.69,5372,966,3.1672131147540985,6338,2473,406,305
85.38,14.62,HESSEN,100,8.03,2021-06-09T16:19:12Z,162,84,51.85,1723,295,3.1382978723404253,2018,729,114,94
78.0,22.0,RHEINLAND_PFALZ,127,4.95,2021-06-09T16:19:12Z,59,32,54.24,929,262,3.493333333333333,1191,451,94,75
84.14,15.86,BADEN_WUERTTEMBERG,231,7.95,2021-06-09T16:19:12Z,223,143,64.13,2361,445,3.56,2806,1358,182,125
83.44,16.56,BAYERN,331,7.5,2021-06-09T16:19:12Z,281,172,61.21,3128,621,3.0742574257425743,3749,1080,270,202
86.41,13.59,SAARLAND,34,4.26,2021-06-09T16:19:12Z,21,13,61.9,426,67,3.9411764705882355,493,256,24,17
86.12,13.88,BERLIN,78,8.7,2021-06-09T16:19:12Z,106,82,77.36,1049,169,4.121951219512195,1218,388,64,41
83.48,16.52,BRANDENBURG,38,3.77,2021-06-09T16:19:12Z,26,19,73.08,576,114,2.28,690,352,56,50
83.28,16.72,MECKLENBURG_VORPOMMERN,31,2.99,2021-06-09T16:19:12Z,20,11,55.0,558,112,3.6129032258064515,670,220,41,31
83.72,16.28,SACHSEN,111,8.95,2021-06-09T16:19:12Z,143,100,69.93,1337,260,3.6619718309859155,1597,620,95,71
77.78,22.22,SACHSEN_ANHALT,71,2.99,2021-06-09T16:19:12Z,28,14,50.0,728,208,5.073170731707317,936,342,55,41
82.35,17.65,THUERINGEN,68,7.0,2021-06-09T16:19:12Z,50,34,68.0,588,126,3.5,714,341,44,36
