"bettenBelegtToBettenGesamtPercent","bettenFreiToBettenGesamtPercent",bundesland,covidKapazitaetFrei,"covidToIntensivBettenPercent",creationTimestamp,faelleCovidAktuell,"faelleCovidAktuellBeatmet","faelleCovidAktuellBeatmetToCovidAktuellPercent",intensivBettenBelegt,intensivBettenFrei,intensivBettenGesamt,intensivBettenNotfall7d,meldebereichAnz
79.64,20.36,SCHLESWIG_HOLSTEIN,68,9.29,2021-02-24T17:19:11Z,73,51,69.86,626,160,786,478,39
84.76,15.24,HAMBURG,38,13.06,2021-02-24T17:19:11Z,90,54,60.0,584,105,689,326,34
83.17,16.83,NIEDERSACHSEN,190,9.05,2021-02-24T17:19:11Z,201,117,58.21,1848,374,2222,1026,153
91.11,8.89,BREMEN,12,13.33,2021-02-24T17:19:11Z,30,22,73.33,205,20,225,135,14
84.61,15.39,NORDRHEIN_WESTFALEN,505,9.2,2021-02-24T17:19:11Z,591,344,58.21,5437,989,6426,2536,405
86.59,13.41,HESSEN,139,13.36,2021-02-24T17:19:11Z,283,151,53.36,1834,284,2118,827,116
75.29,24.71,RHEINLAND_PFALZ,121,8.9,2021-02-24T17:19:11Z,108,68,62.96,914,300,1214,450,94
85.5,14.5,BADEN_WUERTTEMBERG,244,8.4,2021-02-24T17:19:11Z,241,137,56.85,2453,416,2869,1386,183
85.01,14.99,BAYERN,305,12.43,2021-02-24T17:19:11Z,476,277,58.19,3256,574,3830,1082,270
83.27,16.73,SAARLAND,54,9.65,2021-02-24T17:19:11Z,49,32,65.31,423,85,508,246,24
85.75,14.25,BERLIN,77,17.58,2021-02-24T17:19:11Z,222,161,72.52,1083,180,1263,385,64
82.72,17.28,BRANDENBURG,75,14.53,2021-02-24T17:19:11Z,111,67,60.36,632,132,764,344,57
79.54,20.46,MECKLENBURG_VORPOMMERN,60,7.01,2021-02-24T17:19:11Z,49,23,46.94,556,143,699,246,42
74.14,25.86,SACHSEN,125,13.05,2021-02-24T17:19:11Z,212,113,53.3,1204,420,1624,648,94
84.19,15.81,SACHSEN_ANHALT,61,10.43,2021-02-24T17:19:11Z,95,60,63.16,767,144,911,343,55
85.79,14.21,THUERINGEN,50,17.21,2021-02-24T17:19:11Z,132,69,52.27,658,109,767,367,45
