"bettenBelegtToBettenGesamtPercent","bettenFreiToBettenGesamtPercent",bundesland,covidKapazitaetFrei,"covidToIntensivBettenPercent",creationTimestamp,faelleCovidAktuell,"faelleCovidAktuellBeatmet","faelleCovidAktuellBeatmetToCovidAktuellPercent",intensivBettenBelegt,intensivBettenFrei,"intensivBettenFreiProStandort",intensivBettenGesamt,intensivBettenNotfall7d,meldebereichAnz,standortAnzahl
76.92,23.08,SCHLESWIG_HOLSTEIN,59,5.51,2021-04-14T17:19:11Z,43,24,55.81,600,180,5.625,780,474,39,32
83.6,16.4,HAMBURG,43,15.66,2021-04-14T17:19:11Z,106,62,58.49,566,111,4.625,677,326,34,24
84.59,15.41,NIEDERSACHSEN,139,13.66,2021-04-14T17:19:11Z,296,173,58.45,1833,334,2.830508474576271,2167,1040,153,118
86.82,13.18,BREMEN,9,22.27,2021-04-14T17:19:11Z,49,31,63.27,191,29,2.4166666666666665,220,141,14,12
87.44,12.56,NORDRHEIN_WESTFALEN,332,15.32,2021-04-14T17:19:11Z,985,596,60.51,5623,808,2.6405228758169934,6431,2510,407,306
88.58,11.42,HESSEN,87,20.22,2021-04-14T17:19:11Z,425,205,48.24,1862,240,2.5,2102,791,116,96
80.4,19.6,RHEINLAND_PFALZ,92,14.35,2021-04-14T17:19:11Z,172,86,50.0,964,235,3.1333333333333333,1199,451,94,75
86.44,13.56,BADEN_WUERTTEMBERG,202,17.43,2021-04-14T17:19:11Z,495,281,56.77,2455,385,3.08,2840,1379,182,125
85.3,14.7,BAYERN,248,20.07,2021-04-14T17:19:11Z,767,429,55.93,3260,562,2.782178217821782,3822,1109,270,202
89.07,10.93,SAARLAND,33,13.56,2021-04-14T17:19:11Z,67,24,35.82,440,54,3.176470588235294,494,254,24,17
89.04,10.96,BERLIN,63,24.16,2021-04-14T17:19:11Z,302,206,68.21,1113,137,3.341463414634146,1250,384,64,41
83.51,16.49,BRANDENBURG,57,20.39,2021-04-14T17:19:11Z,157,79,50.32,643,127,2.4901960784313726,770,335,57,51
81.73,18.27,MECKLENBURG_VORPOMMERN,44,10.2,2021-04-14T17:19:11Z,72,46,63.89,577,129,4.03125,706,230,42,32
86.09,13.91,SACHSEN,80,22.52,2021-04-14T17:19:11Z,366,207,56.56,1399,226,3.183098591549296,1625,636,94,71
86.4,13.6,SACHSEN_ANHALT,55,16.28,2021-04-14T17:19:11Z,146,69,47.26,775,122,2.975609756097561,897,340,55,41
90.55,9.45,THUERINGEN,32,30.45,2021-04-14T17:19:11Z,232,133,57.33,690,72,2.0,762,334,44,36
