"bettenBelegtToBettenGesamtPercent","bettenFreiToBettenGesamtPercent",bundesland,covidKapazitaetFrei,"covidToIntensivBettenPercent",creationTimestamp,faelleCovidAktuell,"faelleCovidAktuellBeatmet","faelleCovidAktuellBeatmetToCovidAktuellPercent",intensivBettenBelegt,intensivBettenFrei,"intensivBettenFreiProStandort",intensivBettenGesamt,intensivBettenNotfall7d,meldebereichAnz,standortAnzahl
82.97,17.03,SCHLESWIG_HOLSTEIN,48,5.86,2022-02-16T18:05:00Z,43,22,51.16,609,125,4.032258064516129,734,480,41,31
80.65,19.35,HAMBURG,21,10.27,2022-02-16T18:05:00Z,60,40,66.67,471,113,4.708333333333333,584,319,34,24
82.51,17.49,NIEDERSACHSEN,140,6.13,2022-02-16T18:05:00Z,129,55,42.64,1736,368,3.1186440677966103,2104,966,153,118
94.53,5.47,BREMEN,4,13.43,2022-02-16T18:05:00Z,27,18,66.67,190,11,1.0,201,82,13,11
87.16,12.84,NORDRHEIN_WESTFALEN,239,9.37,2022-02-16T18:05:00Z,564,285,50.53,5247,773,2.568106312292359,6020,2013,400,301
86.84,13.16,HESSEN,81,11.06,2022-02-16T18:05:00Z,221,92,41.63,1735,263,2.797872340425532,1998,633,114,94
82.24,17.76,RHEINLAND_PFALZ,71,8.97,2022-02-16T18:05:00Z,101,40,39.6,926,200,2.7027027027027026,1126,367,94,74
85.02,14.98,BADEN_WUERTTEMBERG,147,10.96,2022-02-16T18:05:00Z,289,140,48.44,2241,395,3.134920634920635,2636,1075,183,126
85.35,14.65,BAYERN,169,10.84,2022-02-16T18:05:00Z,390,180,46.15,3070,527,2.6218905472636815,3597,608,268,201
83.71,16.29,SAARLAND,43,8.66,2022-02-16T18:05:00Z,42,15,35.71,406,79,4.9375,485,254,23,16
88.51,11.49,BERLIN,42,16.32,2022-02-16T18:05:00Z,186,112,60.22,1009,131,3.1951219512195124,1140,315,68,41
83.16,16.84,BRANDENBURG,32,11.03,2022-02-16T18:05:00Z,76,33,43.42,573,116,2.2745098039215685,689,341,57,51
78.28,21.72,MECKLENBURG_VORPOMMERN,42,10.35,2022-02-16T18:05:00Z,71,31,43.66,537,149,4.65625,686,212,42,32
77.47,22.53,SACHSEN,97,10.9,2022-02-16T18:05:00Z,163,60,36.81,1159,337,4.746478873239437,1496,432,96,71
83.84,16.16,SACHSEN_ANHALT,46,7.51,2022-02-16T18:05:00Z,59,24,40.68,659,127,3.097560975609756,786,328,55,41
77.1,22.9,THUERINGEN,51,7.1,2022-02-16T18:05:00Z,49,23,46.94,532,158,4.388888888888889,690,228,44,36
