"bettenBelegtToBettenGesamtPercent","bettenFreiToBettenGesamtPercent",bundesland,covidKapazitaetFrei,"covidToIntensivBettenPercent",creationTimestamp,faelleCovidAktuell,"faelleCovidAktuellBeatmet","faelleCovidAktuellBeatmetToCovidAktuellPercent",intensivBettenBelegt,intensivBettenFrei,"intensivBettenFreiProStandort",intensivBettenGesamt,intensivBettenNotfall7d,meldebereichAnz,standortAnzahl
84.31,15.69,SCHLESWIG_HOLSTEIN,40,4.55,2022-07-03T16:05:25Z,31,11,35.48,575,107,3.4516129032258065,682,498,41,31
80.86,19.14,HAMBURG,20,4.83,2022-07-03T16:05:25Z,26,9,34.62,435,103,4.291666666666667,538,320,34,24
82.07,17.93,NIEDERSACHSEN,107,4.16,2022-07-03T16:05:25Z,81,17,20.99,1597,349,2.982905982905983,1946,979,151,117
94.22,5.78,BREMEN,1,6.94,2022-07-03T16:05:25Z,12,3,25.0,163,10,0.9090909090909091,173,76,13,11
84.85,15.15,NORDRHEIN_WESTFALEN,208,4.95,2022-07-03T16:05:25Z,271,79,29.15,4650,830,2.832764505119454,5480,2017,386,293
86.75,13.25,HESSEN,36,4.12,2022-07-03T16:05:25Z,77,24,31.17,1623,248,2.6666666666666665,1871,633,111,93
79.62,20.38,RHEINLAND_PFALZ,52,4.49,2022-07-03T16:05:25Z,50,10,20.0,887,227,3.1527777777777777,1114,359,91,72
82.27,17.73,BADEN_WUERTTEMBERG,129,4.0,2022-07-03T16:05:25Z,103,31,30.1,2121,457,3.656,2578,1069,182,125
84.7,15.3,BAYERN,163,4.21,2022-07-03T16:05:25Z,145,49,33.79,2917,527,2.648241206030151,3444,615,266,199
83.6,16.4,SAARLAND,29,5.08,2022-07-03T16:05:25Z,22,4,18.18,362,71,4.4375,433,260,23,16
87.6,12.4,BERLIN,21,4.38,2022-07-03T16:05:25Z,47,23,48.94,940,133,3.2439024390243905,1073,309,68,41
79.78,20.22,BRANDENBURG,26,4.2,2022-07-03T16:05:25Z,27,7,25.93,513,130,2.6,643,323,56,50
79.33,20.67,MECKLENBURG_VORPOMMERN,33,3.5,2022-07-03T16:05:25Z,23,6,26.09,522,136,4.387096774193548,658,203,41,31
77.72,22.28,SACHSEN,78,3.39,2022-07-03T16:05:25Z,48,13,27.08,1099,315,4.5,1414,446,96,70
80.36,19.64,SACHSEN_ANHALT,44,2.2,2022-07-03T16:05:25Z,17,10,58.82,622,152,3.707317073170732,774,331,55,41
75.83,24.17,THUERINGEN,52,3.3,2022-07-03T16:05:25Z,22,7,31.82,505,161,4.6,666,225,43,35
