"bettenBelegtToBettenGesamtPercent","bettenFreiToBettenGesamtPercent",bundesland,"covidToIntensivBettenPercent",creationTimestamp,faelleCovidAktuell,"faelleCovidAktuellBeatmet","faelleCovidAktuellBeatmetToCovidAktuellPercent",intensivBettenBelegt,intensivBettenFrei,intensivBettenGesamt,intensivBettenNotfall7d,meldebereichAnz
76.42,23.58,SCHLESWIG_HOLSTEIN,10.36,2021-01-26T13:22:42Z,80,45,56.25,590,182,772,486,39
81.41,18.59,HAMBURG,13.91,2021-01-26T13:22:42Z,95,60,63.16,556,127,683,323,34
82.3,17.7,NIEDERSACHSEN,12.61,2021-01-26T13:22:42Z,278,148,53.24,1814,390,2204,1045,153
86.79,13.21,BREMEN,16.98,2021-01-26T13:22:42Z,36,18,50.0,184,28,212,132,13
84.86,15.14,NORDRHEIN_WESTFALEN,12.75,2021-01-26T13:22:42Z,824,455,55.22,5486,979,6465,2497,406
87.35,12.65,HESSEN,19.76,2021-01-26T13:22:42Z,417,212,50.84,1843,267,2110,820,117
77.06,22.94,RHEINLAND_PFALZ,15.68,2021-01-26T13:22:42Z,188,82,43.62,924,275,1199,434,94
85.34,14.66,BADEN_WUERTTEMBERG,16.0,2021-01-26T13:22:42Z,455,274,60.22,2427,417,2844,1376,183
84.76,15.24,BAYERN,18.2,2021-01-26T13:22:42Z,701,387,55.21,3264,587,3851,1136,269
85.08,14.92,SAARLAND,16.09,2021-01-26T13:22:42Z,83,37,44.58,439,77,516,240,24
87.31,12.69,BERLIN,29.15,2021-01-26T13:22:42Z,379,270,71.24,1135,165,1300,389,64
80.1,19.9,BRANDENBURG,25.26,2021-01-26T13:22:42Z,193,92,47.67,612,152,764,334,56
79.25,20.75,MECKLENBURG_VORPOMMERN,11.14,2021-01-26T13:22:42Z,80,35,43.75,569,149,718,232,42
76.34,23.66,SACHSEN,24.58,2021-01-26T13:22:42Z,399,222,55.64,1239,384,1623,631,94
87.21,12.79,SACHSEN_ANHALT,20.55,2021-01-26T13:22:42Z,188,113,60.11,798,117,915,343,55
84.91,15.09,THUERINGEN,21.1,2021-01-26T13:22:42Z,172,97,56.4,692,123,815,349,45
