"bettenBelegtToBettenGesamtPercent","bettenFreiToBettenGesamtPercent",bundesland,"covidToIntensivBettenPercent",creationTimestamp,faelleCovidAktuell,"faelleCovidAktuellBeatmet","faelleCovidAktuellBeatmetToCovidAktuellPercent",intensivBettenBelegt,intensivBettenFrei,intensivBettenGesamt,intensivBettenNotfall7d,meldebereichAnz
67.41,32.59,SCHLESWIG_HOLSTEIN,6.0,2020-12-24T17:19:04Z,46,20,43.48,517,250,767,436,39
79.88,20.12,HAMBURG,17.2,2020-12-24T17:19:04Z,112,70,62.5,520,131,651,347,34
77.39,22.61,NIEDERSACHSEN,10.57,2020-12-24T17:19:04Z,228,119,52.19,1670,488,2158,1079,152
82.63,17.37,BREMEN,17.37,2020-12-24T17:19:04Z,37,22,59.46,176,37,213,142,14
83.13,16.87,NORDRHEIN_WESTFALEN,17.7,2020-12-24T17:19:04Z,1127,626,55.55,5292,1074,6366,2535,405
83.69,16.31,HESSEN,23.1,2020-12-24T17:19:04Z,470,252,53.62,1703,332,2035,862,117
76.02,23.98,RHEINLAND_PFALZ,19.98,2020-12-24T17:19:04Z,240,103,42.92,913,288,1201,447,94
81.58,18.42,BADEN_WUERTTEMBERG,22.06,2020-12-24T17:19:04Z,619,332,53.63,2289,517,2806,1364,181
82.61,17.39,BAYERN,21.51,2020-12-24T17:19:04Z,819,456,55.68,3145,662,3807,1215,269
79.45,20.55,SAARLAND,17.61,2020-12-24T17:19:04Z,84,35,41.67,379,98,477,261,25
86.84,13.16,BERLIN,31.56,2020-12-24T17:19:04Z,398,256,64.32,1095,166,1261,382,64
80.58,19.42,BRANDENBURG,28.14,2020-12-24T17:19:04Z,213,81,38.03,610,147,757,353,56
75.07,24.93,MECKLENBURG_VORPOMMERN,7.4,2020-12-24T17:19:04Z,54,21,38.89,548,182,730,240,42
82.95,17.05,SACHSEN,36.29,2020-12-24T17:19:04Z,581,263,45.27,1328,273,1601,630,94
80.0,20.0,SACHSEN_ANHALT,15.85,2020-12-24T17:19:04Z,145,76,52.41,732,183,915,358,56
77.32,22.68,THUERINGEN,22.93,2020-12-24T17:19:04Z,183,97,53.01,617,181,798,364,45
