"bettenBelegtToBettenGesamtPercent","bettenFreiToBettenGesamtPercent",bundesland,covidKapazitaetFrei,"covidToIntensivBettenPercent",creationTimestamp,faelleCovidAktuell,"faelleCovidAktuellBeatmet","faelleCovidAktuellBeatmetToCovidAktuellPercent",intensivBettenBelegt,intensivBettenFrei,"intensivBettenFreiProStandort",intensivBettenGesamt,intensivBettenNotfall7d,meldebereichAnz,standortAnzahl
74.9,25.1,SCHLESWIG_HOLSTEIN,54,6.15,2021-04-07T16:19:11Z,48,28,58.33,585,196,6.125,781,474,39,32
82.97,17.03,HAMBURG,39,14.85,2021-04-07T16:19:11Z,102,59,57.84,570,117,4.875,687,316,34,24
83.05,16.95,NIEDERSACHSEN,145,13.19,2021-04-07T16:19:11Z,288,155,53.82,1813,370,3.135593220338983,2183,1049,153,118
88.48,11.52,BREMEN,9,20.74,2021-04-07T16:19:11Z,45,31,68.89,192,25,2.0833333333333335,217,146,14,12
86.67,13.33,NORDRHEIN_WESTFALEN,351,14.42,2021-04-07T16:19:11Z,923,520,56.34,5546,853,2.787581699346405,6399,2525,405,306
86.69,13.31,HESSEN,93,19.77,2021-04-07T16:19:11Z,416,195,46.88,1824,280,2.9166666666666665,2104,805,116,96
78.91,21.09,RHEINLAND_PFALZ,95,13.53,2021-04-07T16:19:11Z,161,82,50.93,939,251,3.3466666666666667,1190,452,94,75
85.48,14.52,BADEN_WUERTTEMBERG,232,16.37,2021-04-07T16:19:11Z,469,245,52.24,2449,416,3.328,2865,1418,182,125
85.93,14.07,BAYERN,262,19.53,2021-04-07T16:19:11Z,744,419,56.32,3273,536,2.6534653465346536,3809,1135,270,202
84.4,15.6,SAARLAND,37,12.6,2021-04-07T16:19:11Z,63,30,47.62,422,78,4.588235294117647,500,252,24,17
90.43,9.57,BERLIN,48,22.37,2021-04-07T16:19:11Z,278,191,68.71,1124,119,2.902439024390244,1243,383,64,41
79.26,20.74,BRANDENBURG,80,18.22,2021-04-07T16:19:11Z,137,71,51.82,596,156,3.0588235294117645,752,338,57,51
80.23,19.77,MECKLENBURG_VORPOMMERN,40,12.06,2021-04-07T16:19:11Z,83,50,60.24,552,136,4.25,688,233,42,32
84.41,15.59,SACHSEN,80,21.82,2021-04-07T16:19:11Z,350,212,60.57,1354,250,3.5211267605633805,1604,644,94,71
84.37,15.63,SACHSEN_ANHALT,60,13.14,2021-04-07T16:19:11Z,116,50,43.1,745,138,3.3658536585365852,883,353,55,41
87.27,12.73,THUERINGEN,35,27.19,2021-04-07T16:19:11Z,205,128,62.44,658,96,2.6666666666666665,754,337,44,36
