"bettenBelegtToBettenGesamtPercent","bettenFreiToBettenGesamtPercent",bundesland,"covidToIntensivBettenPercent",creationTimestamp,faelleCovidAktuell,"faelleCovidAktuellBeatmet","faelleCovidAktuellBeatmetToCovidAktuellPercent",intensivBettenBelegt,intensivBettenFrei,intensivBettenGesamt,intensivBettenNotfall7d,meldebereichAnz
77.4,22.6,SCHLESWIG_HOLSTEIN,10.26,2021-01-25T17:27:34Z,79,42,53.16,596,174,770,486,39
80.15,19.85,HAMBURG,14.63,2021-01-25T17:27:34Z,98,60,61.22,537,133,670,328,34
80.7,19.3,NIEDERSACHSEN,12.79,2021-01-25T17:27:34Z,281,144,51.25,1773,424,2197,1036,153
83.19,16.81,BREMEN,13.72,2021-01-25T17:27:34Z,31,19,61.29,188,38,226,135,14
83.72,16.28,NORDRHEIN_WESTFALEN,12.82,2021-01-25T17:27:34Z,826,472,57.14,5396,1049,6445,2513,406
86.23,13.77,HESSEN,19.85,2021-01-25T17:27:34Z,415,216,52.05,1803,288,2091,822,115
75.31,24.69,RHEINLAND_PFALZ,15.58,2021-01-25T17:27:34Z,188,85,45.21,909,298,1207,428,94
83.03,16.97,BADEN_WUERTTEMBERG,16.12,2021-01-25T17:27:34Z,459,286,62.31,2364,483,2847,1376,183
82.62,17.38,BAYERN,18.63,2021-01-25T17:27:34Z,717,412,57.46,3180,669,3849,1137,269
81.12,18.88,SAARLAND,16.76,2021-01-25T17:27:34Z,87,38,43.68,421,98,519,240,24
85.38,14.62,BERLIN,28.92,2021-01-25T17:27:34Z,376,272,72.34,1110,190,1300,384,64
78.63,21.37,BRANDENBURG,26.12,2021-01-25T17:27:34Z,198,94,47.47,596,162,758,338,56
78.19,21.81,MECKLENBURG_VORPOMMERN,11.25,2021-01-25T17:27:34Z,81,36,44.44,563,157,720,230,42
75.12,24.88,SACHSEN,25.68,2021-01-25T17:27:34Z,415,239,57.59,1214,402,1616,635,94
85.26,14.74,SACHSEN_ANHALT,20.24,2021-01-25T17:27:34Z,184,108,58.7,775,134,909,346,55
84.28,15.72,THUERINGEN,22.4,2021-01-25T17:27:34Z,181,104,57.46,681,127,808,355,45
