"bettenBelegtToBettenGesamtPercent","bettenFreiToBettenGesamtPercent",bundesland,covidKapazitaetFrei,"covidToIntensivBettenPercent",creationTimestamp,faelleCovidAktuell,"faelleCovidAktuellBeatmet","faelleCovidAktuellBeatmetToCovidAktuellPercent",intensivBettenBelegt,intensivBettenFrei,"intensivBettenFreiProStandort",intensivBettenGesamt,intensivBettenNotfall7d,meldebereichAnz,standortAnzahl
84.51,15.49,SCHLESWIG_HOLSTEIN,42,7.32,2022-04-15T17:05:18Z,52,18,34.62,600,110,3.5483870967741935,710,485,41,31
77.37,22.63,HAMBURG,19,5.7,2022-04-15T17:05:18Z,33,17,51.52,448,131,5.458333333333333,579,327,34,24
78.61,21.39,NIEDERSACHSEN,129,6.35,2022-04-15T17:05:18Z,128,51,39.84,1584,431,3.652542372881356,2015,956,153,118
90.86,9.14,BREMEN,2,8.57,2022-04-15T17:05:18Z,15,8,53.33,159,16,1.4545454545454546,175,82,13,11
83.88,16.12,NORDRHEIN_WESTFALEN,278,6.58,2022-04-15T17:05:18Z,381,160,41.99,4859,934,3.134228187919463,5793,2029,392,298
86.07,13.93,HESSEN,63,6.45,2022-04-15T17:05:18Z,126,51,40.48,1680,272,2.893617021276596,1952,625,114,94
77.28,22.72,RHEINLAND_PFALZ,56,6.58,2022-04-15T17:05:18Z,73,20,27.4,857,252,3.4054054054054053,1109,373,94,74
84.18,15.82,BADEN_WUERTTEMBERG,126,7.62,2022-04-15T17:05:18Z,199,90,45.23,2198,413,3.2777777777777777,2611,1047,183,126
83.76,16.24,BAYERN,172,8.56,2022-04-15T17:05:18Z,299,117,39.13,2924,567,2.8208955223880596,3491,620,268,201
84.01,15.99,SAARLAND,29,6.4,2022-04-15T17:05:18Z,30,7,23.33,394,75,4.6875,469,237,23,16
88.67,11.33,BERLIN,32,7.25,2022-04-15T17:05:18Z,80,46,57.5,978,125,3.048780487804878,1103,316,68,41
79.73,20.27,BRANDENBURG,39,8.05,2022-04-15T17:05:18Z,54,23,42.59,535,136,2.7755102040816326,671,335,55,49
78.99,21.01,MECKLENBURG_VORPOMMERN,35,8.58,2022-04-15T17:05:18Z,58,25,43.1,534,142,4.303030303030303,676,215,43,33
78.33,21.67,SACHSEN,74,10.77,2022-04-15T17:05:18Z,153,54,35.29,1113,308,4.4,1421,445,96,70
83.81,16.19,SACHSEN_ANHALT,42,7.1,2022-04-15T17:05:18Z,57,17,29.82,673,130,3.1707317073170733,803,327,55,41
77.16,22.84,THUERINGEN,52,7.61,2022-04-15T17:05:18Z,51,13,25.49,517,153,4.25,670,229,44,36
