"bettenBelegtToBettenGesamtPercent","bettenFreiToBettenGesamtPercent",bundesland,"covidToIntensivBettenPercent",creationTimestamp,faelleCovidAktuell,"faelleCovidAktuellBeatmet","faelleCovidAktuellBeatmetToCovidAktuellPercent",intensivBettenBelegt,intensivBettenFrei,intensivBettenGesamt,intensivBettenNotfall7d,meldebereichAnz
71.15,28.85,SCHLESWIG_HOLSTEIN,6.99,2020-12-27T17:19:09Z,54,31,57.41,550,223,773,460,39
77.81,22.19,HAMBURG,17.72,2020-12-27T17:19:09Z,115,74,64.35,505,144,649,346,34
75.92,24.08,NIEDERSACHSEN,11.45,2020-12-27T17:19:09Z,245,109,44.49,1624,515,2139,1056,151
80.09,19.91,BREMEN,16.11,2020-12-27T17:19:09Z,34,20,58.82,169,42,211,146,14
82.89,17.11,NORDRHEIN_WESTFALEN,18.18,2020-12-27T17:19:09Z,1161,652,56.16,5294,1093,6387,2544,406
84.23,15.77,HESSEN,23.88,2020-12-27T17:19:09Z,489,263,53.78,1725,323,2048,843,117
73.83,26.17,RHEINLAND_PFALZ,19.83,2020-12-27T17:19:09Z,238,107,44.96,886,314,1200,445,94
81.28,18.72,BADEN_WUERTTEMBERG,21.8,2020-12-27T17:19:09Z,608,337,55.43,2267,522,2789,1388,181
82.23,17.77,BAYERN,23.32,2020-12-27T17:19:09Z,887,495,55.81,3128,676,3804,1203,270
83.05,16.95,SAARLAND,18.83,2020-12-27T17:19:09Z,90,39,43.33,397,81,478,262,25
86.78,13.22,BERLIN,32.7,2020-12-27T17:19:09Z,413,264,63.92,1096,167,1263,390,64
79.84,20.16,BRANDENBURG,32.1,2020-12-27T17:19:09Z,242,93,38.43,602,152,754,351,55
72.49,27.51,MECKLENBURG_VORPOMMERN,8.25,2020-12-27T17:19:09Z,60,28,46.67,527,200,727,239,42
80.35,19.65,SACHSEN,36.61,2020-12-27T17:19:09Z,585,263,44.96,1284,314,1598,626,94
77.95,22.05,SACHSEN_ANHALT,16.48,2020-12-27T17:19:09Z,151,85,56.29,714,202,916,355,56
79.13,20.87,THUERINGEN,25.45,2020-12-27T17:19:09Z,200,98,49.0,622,164,786,363,45
