"bettenBelegtToBettenGesamtPercent","bettenFreiToBettenGesamtPercent",bundesland,covidKapazitaetFrei,"covidToIntensivBettenPercent",creationTimestamp,faelleCovidAktuell,"faelleCovidAktuellBeatmet","faelleCovidAktuellBeatmetToCovidAktuellPercent",intensivBettenBelegt,intensivBettenFrei,"intensivBettenFreiProStandort",intensivBettenGesamt,intensivBettenNotfall7d,meldebereichAnz,standortAnzahl
79.27,20.73,SCHLESWIG_HOLSTEIN,65,1.97,2021-10-14T16:15:10Z,15,8,53.33,604,158,5.096774193548387,762,463,38,31
84.13,15.87,HAMBURG,36,4.81,2021-10-14T16:15:10Z,30,16,53.33,525,99,4.125,624,326,34,24
84.4,15.6,NIEDERSACHSEN,120,4.2,2021-10-14T16:15:10Z,87,57,65.52,1747,323,2.73728813559322,2070,1097,153,118
89.76,10.24,BREMEN,4,12.68,2021-10-14T16:15:10Z,26,10,38.46,184,21,1.9090909090909092,205,138,13,11
86.38,13.62,NORDRHEIN_WESTFALEN,357,5.09,2021-10-14T16:15:10Z,304,176,57.89,5157,813,2.71,5970,2491,394,300
87.7,12.3,HESSEN,53,6.12,2021-10-14T16:15:10Z,122,69,56.56,1747,245,2.606382978723404,1992,765,114,94
81.21,18.79,RHEINLAND_PFALZ,88,5.25,2021-10-14T16:15:10Z,59,30,50.85,912,211,2.8133333333333335,1123,434,94,75
85.43,14.57,BADEN_WUERTTEMBERG,184,6.43,2021-10-14T16:15:10Z,174,104,59.77,2310,394,3.1774193548387095,2704,1373,181,124
85.66,14.34,BAYERN,272,7.27,2021-10-14T16:15:10Z,261,154,59.0,3077,515,2.575,3592,1060,267,200
88.87,11.13,SAARLAND,22,3.92,2021-10-14T16:15:10Z,19,5,26.32,431,54,3.375,485,265,23,16
87.64,12.36,BERLIN,32,8.24,2021-10-14T16:15:10Z,96,62,64.58,1021,144,3.5121951219512195,1165,424,64,41
82.64,17.36,BRANDENBURG,40,3.57,2021-10-14T16:15:10Z,23,7,30.43,533,112,2.3333333333333335,645,374,54,48
84.32,15.68,MECKLENBURG_VORPOMMERN,37,2.59,2021-10-14T16:15:10Z,17,9,52.94,554,103,3.21875,657,227,40,32
84.33,15.67,SACHSEN,97,6.53,2021-10-14T16:15:10Z,98,35,35.71,1265,235,3.3098591549295775,1500,754,95,71
83.19,16.81,SACHSEN_ANHALT,44,3.39,2021-10-14T16:15:10Z,27,10,37.04,663,134,3.4358974358974357,797,336,53,39
81.24,18.76,THUERINGEN,47,5.36,2021-10-14T16:15:10Z,38,15,39.47,576,133,3.6944444444444446,709,336,44,36
