"bettenBelegtToBettenGesamtPercent","bettenFreiToBettenGesamtPercent",bundesland,covidKapazitaetFrei,"covidToIntensivBettenPercent",creationTimestamp,faelleCovidAktuell,"faelleCovidAktuellBeatmet","faelleCovidAktuellBeatmetToCovidAktuellPercent",intensivBettenBelegt,intensivBettenFrei,"intensivBettenFreiProStandort",intensivBettenGesamt,intensivBettenNotfall7d,meldebereichAnz,standortAnzahl
84.4,15.6,SCHLESWIG_HOLSTEIN,42,1.92,2022-06-15T16:05:15Z,14,3,21.43,617,114,3.6774193548387095,731,471,41,31
82.01,17.99,HAMBURG,18,2.52,2022-06-15T16:05:15Z,14,3,21.43,456,100,4.166666666666667,556,332,34,24
81.44,18.56,NIEDERSACHSEN,124,1.78,2022-06-15T16:05:15Z,37,8,21.62,1694,386,3.2711864406779663,2080,947,153,118
92.86,7.14,BREMEN,1,3.57,2022-06-15T16:05:15Z,7,5,71.43,182,14,1.2727272727272727,196,75,13,11
86.42,13.58,NORDRHEIN_WESTFALEN,255,2.88,2022-06-15T16:05:15Z,164,61,37.2,4918,773,2.6203389830508477,5691,2008,391,295
88.85,11.15,HESSEN,37,3.68,2022-06-15T16:05:15Z,71,19,26.76,1713,215,2.2872340425531914,1928,632,114,94
78.44,21.56,RHEINLAND_PFALZ,62,2.02,2022-06-15T16:05:15Z,23,7,30.43,895,246,3.324324324324324,1141,366,93,74
84.44,15.56,BADEN_WUERTTEMBERG,147,3.33,2022-06-15T16:05:15Z,87,31,35.63,2204,406,3.274193548387097,2610,1045,181,124
84.11,15.89,BAYERN,159,3.59,2022-06-15T16:05:15Z,127,49,38.58,2975,562,2.8241206030150754,3537,610,266,199
81.6,18.4,SAARLAND,32,3.25,2022-06-15T16:05:15Z,15,2,13.33,377,85,5.3125,462,240,23,16
87.94,12.06,BERLIN,30,2.54,2022-06-15T16:05:15Z,28,15,53.57,970,133,3.2439024390243905,1103,309,68,41
81.42,18.58,BRANDENBURG,35,3.17,2022-06-15T16:05:15Z,21,9,42.86,539,123,2.46,662,330,56,50
81.33,18.67,MECKLENBURG_VORPOMMERN,39,2.11,2022-06-15T16:05:15Z,14,4,28.57,540,124,4.0,664,208,41,31
80.17,19.83,SACHSEN,68,2.09,2022-06-15T16:05:15Z,30,10,33.33,1152,285,4.071428571428571,1437,442,96,70
81.38,18.63,SACHSEN_ANHALT,43,1.5,2022-06-15T16:05:15Z,12,6,50.0,651,149,3.6341463414634148,800,330,55,41
81.7,18.3,THUERINGEN,49,1.3,2022-06-15T16:05:15Z,9,1,11.11,567,127,3.6285714285714286,694,226,43,35
