"bettenBelegtToBettenGesamtPercent","bettenFreiToBettenGesamtPercent",bundesland,covidKapazitaetFrei,"covidToIntensivBettenPercent",creationTimestamp,faelleCovidAktuell,"faelleCovidAktuellBeatmet","faelleCovidAktuellBeatmetToCovidAktuellPercent",intensivBettenBelegt,intensivBettenFrei,intensivBettenGesamt,intensivBettenNotfall7d,meldebereichAnz
80.72,19.28,SCHLESWIG_HOLSTEIN,58,9.45,2021-02-16T18:19:04Z,74,48,64.86,632,151,783,478,39
81.48,18.52,HAMBURG,46,11.43,2021-02-16T18:19:04Z,79,41,51.9,563,128,691,324,34
81.01,18.99,NIEDERSACHSEN,187,9.84,2021-02-16T18:19:04Z,216,124,57.41,1779,417,2196,1030,153
89.95,10.05,BREMEN,13,15.07,2021-02-16T18:19:04Z,33,22,66.67,197,22,219,141,14
85.15,14.85,NORDRHEIN_WESTFALEN,478,10.32,2021-02-16T18:19:04Z,664,379,57.08,5478,955,6433,2512,405
85.66,14.34,HESSEN,130,15.29,2021-02-16T18:19:04Z,321,176,54.83,1798,301,2099,822,116
77.89,22.11,RHEINLAND_PFALZ,118,11.47,2021-02-16T18:19:04Z,137,75,54.74,930,264,1194,446,94
81.86,18.14,BADEN_WUERTTEMBERG,299,9.59,2021-02-16T18:19:04Z,276,166,60.14,2355,522,2877,1373,183
82.98,17.02,BAYERN,332,14.06,2021-02-16T18:19:04Z,543,300,55.25,3204,657,3861,1128,270
83.72,16.28,SAARLAND,53,11.63,2021-02-16T18:19:04Z,60,31,51.67,432,84,516,250,24
87.09,12.91,BERLIN,75,21.18,2021-02-16T18:19:04Z,269,184,68.4,1106,164,1270,385,64
80.54,19.46,BRANDENBURG,84,17.77,2021-02-16T18:19:04Z,137,82,59.85,621,150,771,348,57
79.94,20.06,MECKLENBURG_VORPOMMERN,60,9.74,2021-02-16T18:19:04Z,68,29,42.65,558,140,698,243,42
74.57,25.43,SACHSEN,147,14.99,2021-02-16T18:19:04Z,244,128,52.46,1214,414,1628,637,94
83.68,16.32,SACHSEN_ANHALT,71,12.21,2021-02-16T18:19:04Z,110,64,58.18,754,147,901,347,55
86.01,13.99,THUERINGEN,60,15.29,2021-02-16T18:19:04Z,117,60,51.28,658,107,765,351,45
