"bettenBelegtToBettenGesamtPercent","bettenFreiToBettenGesamtPercent",bundesland,covidKapazitaetFrei,"covidToIntensivBettenPercent",creationTimestamp,faelleCovidAktuell,"faelleCovidAktuellBeatmet","faelleCovidAktuellBeatmetToCovidAktuellPercent",intensivBettenBelegt,intensivBettenFrei,intensivBettenGesamt,intensivBettenNotfall7d,meldebereichAnz
76.99,23.01,SCHLESWIG_HOLSTEIN,64,9.9,2021-02-21T17:19:08Z,77,47,61.04,599,179,778,480,39
83.26,16.74,HAMBURG,39,11.16,2021-02-21T17:19:08Z,76,40,52.63,567,114,681,329,34
79.91,20.09,NIEDERSACHSEN,187,9.26,2021-02-21T17:19:08Z,200,114,57.0,1726,434,2160,1048,153
83.58,16.42,BREMEN,16,14.93,2021-02-21T17:19:08Z,30,20,66.67,168,33,201,138,14
83.53,16.47,NORDRHEIN_WESTFALEN,500,9.85,2021-02-21T17:19:08Z,625,353,56.48,5299,1045,6344,2518,404
86.22,13.78,HESSEN,132,14.21,2021-02-21T17:19:08Z,295,153,51.86,1790,286,2076,784,115
76.39,23.61,RHEINLAND_PFALZ,106,9.33,2021-02-21T17:19:08Z,111,63,56.76,909,281,1190,438,94
80.96,19.04,BADEN_WUERTTEMBERG,303,9.1,2021-02-21T17:19:08Z,259,140,54.05,2304,542,2846,1387,183
81.64,18.36,BAYERN,340,12.65,2021-02-21T17:19:08Z,483,281,58.18,3117,701,3818,1124,270
78.26,21.74,SAARLAND,52,11.26,2021-02-21T17:19:08Z,57,30,52.63,396,110,506,245,24
84.58,15.42,BERLIN,81,18.84,2021-02-21T17:19:08Z,237,164,69.2,1064,194,1258,384,64
76.91,23.09,BRANDENBURG,80,16.49,2021-02-21T17:19:08Z,125,56,44.8,583,175,758,352,57
77.65,22.35,MECKLENBURG_VORPOMMERN,68,7.11,2021-02-21T17:19:08Z,49,20,40.82,535,154,689,256,42
73.23,26.77,SACHSEN,136,13.23,2021-02-21T17:19:08Z,215,123,57.21,1190,435,1625,646,94
81.74,18.26,SACHSEN_ANHALT,81,10.67,2021-02-21T17:19:08Z,97,57,58.76,743,166,909,347,55
83.66,16.34,THUERINGEN,59,16.86,2021-02-21T17:19:08Z,128,74,57.81,635,124,759,362,45
