"bettenBelegtToBettenGesamtPercent","bettenFreiToBettenGesamtPercent",bundesland,"covidToIntensivBettenPercent",creationTimestamp,faelleCovidAktuell,"faelleCovidAktuellBeatmet","faelleCovidAktuellBeatmetToCovidAktuellPercent",intensivBettenBelegt,intensivBettenFrei,intensivBettenGesamt,intensivBettenNotfall7d,meldebereichAnz
74.06,25.94,SCHLESWIG_HOLSTEIN,8.26,2021-01-08T20:19:10Z,64,41,64.06,574,201,775,472,39
82.84,17.16,HAMBURG,15.82,2021-01-08T20:19:10Z,106,72,67.92,555,115,670,330,34
80.79,19.21,NIEDERSACHSEN,12.55,2021-01-08T20:19:10Z,275,139,50.55,1771,421,2192,1036,154
81.22,18.78,BREMEN,13.97,2021-01-08T20:19:10Z,32,15,46.88,186,43,229,139,14
85.7,14.3,NORDRHEIN_WESTFALEN,16.18,2021-01-08T20:19:10Z,1039,597,57.46,5503,918,6421,2447,404
86.72,13.28,HESSEN,23.6,2021-01-08T20:19:10Z,494,264,53.44,1815,278,2093,834,118
76.87,23.13,RHEINLAND_PFALZ,16.71,2021-01-08T20:19:10Z,203,88,43.35,934,281,1215,430,94
82.84,17.16,BADEN_WUERTTEMBERG,21.02,2021-01-08T20:19:10Z,599,357,59.6,2360,489,2849,1393,183
85.21,14.79,BAYERN,23.05,2021-01-08T20:19:10Z,887,497,56.03,3279,569,3848,1156,269
83.92,16.08,SAARLAND,14.12,2021-01-08T20:19:10Z,72,32,44.44,428,82,510,245,24
87.8,12.2,BERLIN,33.82,2021-01-08T20:19:10Z,438,294,67.12,1137,158,1295,380,64
86.09,13.91,BRANDENBURG,30.97,2021-01-08T20:19:10Z,245,119,48.57,681,110,791,317,56
82.17,17.83,MECKLENBURG_VORPOMMERN,12.62,2021-01-08T20:19:10Z,92,38,41.3,599,130,729,233,42
81.39,18.61,SACHSEN,32.84,2021-01-08T20:19:10Z,531,279,52.54,1316,301,1617,620,94
84.9,15.1,SACHSEN_ANHALT,22.98,2021-01-08T20:19:10Z,210,125,59.52,776,138,914,354,56
84.59,15.41,THUERINGEN,26.62,2021-01-08T20:19:10Z,209,116,55.5,664,121,785,349,45
