"bettenBelegtToBettenGesamtPercent","bettenFreiToBettenGesamtPercent",bundesland,"covidToIntensivBettenPercent",creationTimestamp,faelleCovidAktuell,"faelleCovidAktuellBeatmet","faelleCovidAktuellBeatmetToCovidAktuellPercent",intensivBettenBelegt,intensivBettenFrei,intensivBettenGesamt,intensivBettenNotfall7d,meldebereichAnz
78.62,21.38,SCHLESWIG_HOLSTEIN,11.34,2021-01-28T17:28:23Z,87,52,59.77,603,164,767,491,39
81.38,18.62,HAMBURG,12.32,2021-01-28T17:28:23Z,84,54,64.29,555,127,682,322,34
83.74,16.26,NIEDERSACHSEN,12.7,2021-01-28T17:28:23Z,278,140,50.36,1833,356,2189,1033,153
83.94,16.06,BREMEN,14.68,2021-01-28T17:28:23Z,32,24,75.0,183,35,218,134,14
85.41,14.59,NORDRHEIN_WESTFALEN,12.38,2021-01-28T17:28:23Z,803,451,56.16,5538,946,6484,2518,406
87.1,12.9,HESSEN,19.09,2021-01-28T17:28:23Z,398,198,49.75,1816,269,2085,821,116
76.76,23.24,RHEINLAND_PFALZ,15.27,2021-01-28T17:28:23Z,184,89,48.37,925,280,1205,436,94
84.56,15.44,BADEN_WUERTTEMBERG,15.23,2021-01-28T17:28:23Z,434,255,58.76,2409,440,2849,1377,183
84.82,15.18,BAYERN,18.17,2021-01-28T17:28:23Z,700,386,55.14,3268,585,3853,1133,269
84.33,15.67,SAARLAND,16.05,2021-01-28T17:28:23Z,83,35,42.17,436,81,517,241,24
88.54,11.46,BERLIN,27.92,2021-01-28T17:28:23Z,363,259,71.35,1151,149,1300,381,64
81.05,18.95,BRANDENBURG,23.66,2021-01-28T17:28:23Z,181,85,46.96,620,145,765,339,56
81.04,18.96,MECKLENBURG_VORPOMMERN,11.1,2021-01-28T17:28:23Z,79,31,39.24,577,135,712,237,42
76.08,23.92,SACHSEN,23.25,2021-01-28T17:28:23Z,378,216,57.14,1237,389,1626,632,94
85.67,14.33,SACHSEN_ANHALT,19.4,2021-01-28T17:28:23Z,176,104,59.09,777,130,907,342,55
85.2,14.8,THUERINGEN,21.89,2021-01-28T17:28:23Z,176,99,56.25,685,119,804,353,45
