"bettenBelegtToBettenGesamtPercent","bettenFreiToBettenGesamtPercent",bundesland,"covidToIntensivBettenPercent",creationTimestamp,faelleCovidAktuell,"faelleCovidAktuellBeatmet","faelleCovidAktuellBeatmetToCovidAktuellPercent",intensivBettenBelegt,intensivBettenFrei,intensivBettenGesamt,intensivBettenNotfall7d,meldebereichAnz
81.23,18.77,SCHLESWIG_HOLSTEIN,10.89,2021-01-29T17:21:22Z,83,50,60.24,619,143,762,489,39
82.94,17.06,HAMBURG,13.06,2021-01-29T17:21:22Z,88,55,62.5,559,115,674,329,34
83.2,16.8,NIEDERSACHSEN,12.32,2021-01-29T17:21:22Z,269,142,52.79,1817,367,2184,1039,153
81.43,18.57,BREMEN,14.29,2021-01-29T17:21:22Z,30,21,70.0,171,39,210,132,14
85.53,14.47,NORDRHEIN_WESTFALEN,12.48,2021-01-29T17:21:22Z,807,438,54.28,5531,936,6467,2521,406
87.34,12.66,HESSEN,18.79,2021-01-29T17:21:22Z,392,191,48.72,1822,264,2086,814,116
76.39,23.61,RHEINLAND_PFALZ,14.55,2021-01-29T17:21:22Z,175,87,49.71,919,284,1203,440,94
85.39,14.61,BADEN_WUERTTEMBERG,14.75,2021-01-29T17:21:22Z,423,239,56.5,2449,419,2868,1366,183
85.0,15.0,BAYERN,17.46,2021-01-29T17:21:22Z,674,385,57.12,3281,579,3860,1127,269
85.66,14.34,SAARLAND,18.02,2021-01-29T17:21:22Z,93,34,36.56,442,74,516,239,24
88.19,11.81,BERLIN,27.34,2021-01-29T17:21:22Z,354,246,69.49,1142,153,1295,381,64
79.33,20.67,BRANDENBURG,23.39,2021-01-29T17:21:22Z,181,84,46.41,614,160,774,342,56
79.5,20.5,MECKLENBURG_VORPOMMERN,11.63,2021-01-29T17:21:22Z,84,34,40.48,574,148,722,232,42
75.76,24.24,SACHSEN,22.27,2021-01-29T17:21:22Z,361,203,56.23,1228,393,1621,638,94
85.54,14.46,SACHSEN_ANHALT,19.93,2021-01-29T17:21:22Z,182,103,56.59,781,132,913,345,55
84.75,15.25,THUERINGEN,21.75,2021-01-29T17:21:22Z,174,95,54.6,678,122,800,349,45
