"bettenBelegtToBettenGesamtPercent","bettenFreiToBettenGesamtPercent",bundesland,covidKapazitaetFrei,"covidToIntensivBettenPercent",creationTimestamp,faelleCovidAktuell,"faelleCovidAktuellBeatmet","faelleCovidAktuellBeatmetToCovidAktuellPercent",intensivBettenBelegt,intensivBettenFrei,"intensivBettenFreiProStandort",intensivBettenGesamt,intensivBettenNotfall7d,meldebereichAnz,standortAnzahl
82.15,17.85,SCHLESWIG_HOLSTEIN,44,3.77,2022-05-22T16:05:32Z,26,10,38.46,566,123,3.967741935483871,689,481,41,31
80.29,19.71,HAMBURG,20,2.53,2022-05-22T16:05:32Z,14,4,28.57,444,109,4.541666666666667,553,320,34,24
81.78,18.22,NIEDERSACHSEN,114,2.77,2022-05-22T16:05:32Z,51,17,33.33,1504,335,2.8632478632478633,1839,900,150,117
89.13,10.87,BREMEN,0,3.26,2022-05-22T16:05:32Z,6,3,50.0,164,20,1.8181818181818181,184,75,13,11
84.2,15.8,NORDRHEIN_WESTFALEN,272,3.08,2022-05-22T16:05:32Z,174,84,48.28,4758,893,3.016891891891892,5651,2024,392,296
86.13,13.87,HESSEN,52,3.69,2022-05-22T16:05:32Z,69,24,34.78,1609,259,2.75531914893617,1868,626,111,94
78.84,21.16,RHEINLAND_PFALZ,69,3.47,2022-05-22T16:05:32Z,39,12,30.77,887,238,3.2162162162162162,1125,367,93,74
81.07,18.93,BADEN_WUERTTEMBERG,176,4.06,2022-05-22T16:05:32Z,106,42,39.62,2115,494,3.952,2609,1054,182,125
82.44,17.56,BAYERN,182,3.82,2022-05-22T16:05:32Z,134,50,37.31,2891,616,3.08,3507,631,267,200
80.58,19.42,SAARLAND,31,5.13,2022-05-22T16:05:32Z,23,7,30.43,361,87,5.8,448,237,22,15
86.94,13.06,BERLIN,34,4.14,2022-05-22T16:05:32Z,45,24,53.33,945,142,3.4634146341463414,1087,321,68,41
76.11,23.89,BRANDENBURG,45,2.52,2022-05-22T16:05:32Z,17,6,35.29,513,161,3.22,674,328,56,50
75.67,24.33,MECKLENBURG_VORPOMMERN,36,2.67,2022-05-22T16:05:32Z,18,7,38.89,510,164,5.125,674,208,42,32
77.0,23.0,SACHSEN,74,3.83,2022-05-22T16:05:32Z,55,19,34.55,1105,330,4.714285714285714,1435,444,96,70
81.5,18.5,SACHSEN_ANHALT,56,1.65,2022-05-22T16:05:32Z,13,10,76.92,643,146,3.5609756097560976,789,328,55,41
80.09,19.91,THUERINGEN,46,3.69,2022-05-22T16:05:32Z,25,6,24.0,543,135,3.857142857142857,678,230,43,35
