"bettenBelegtToBettenGesamtPercent","bettenFreiToBettenGesamtPercent",bundesland,covidKapazitaetFrei,"covidToIntensivBettenPercent",creationTimestamp,faelleCovidAktuell,"faelleCovidAktuellBeatmet","faelleCovidAktuellBeatmetToCovidAktuellPercent",intensivBettenBelegt,intensivBettenFrei,"intensivBettenFreiProStandort",intensivBettenGesamt,intensivBettenNotfall7d,meldebereichAnz,standortAnzahl
74.57,25.43,SCHLESWIG_HOLSTEIN,62,1.44,2021-06-30T16:19:07Z,11,9,81.82,569,194,6.258064516129032,763,466,38,31
80.89,19.11,HAMBURG,44,3.39,2021-06-30T16:19:07Z,22,15,68.18,525,124,5.391304347826087,649,308,33,23
82.19,17.81,NIEDERSACHSEN,173,1.21,2021-06-30T16:19:07Z,26,19,73.08,1763,382,3.264957264957265,2145,1047,152,117
85.71,14.29,BREMEN,11,0.45,2021-06-30T16:19:07Z,1,1,100.0,192,32,2.6666666666666665,224,127,14,12
84.97,15.03,NORDRHEIN_WESTFALEN,462,2.16,2021-06-30T16:19:07Z,134,101,75.37,5269,932,3.0657894736842106,6201,2553,403,304
84.66,15.34,HESSEN,95,4.16,2021-06-30T16:19:07Z,85,49,57.65,1728,313,3.3297872340425534,2041,741,114,94
74.35,25.65,RHEINLAND_PFALZ,138,1.18,2021-06-30T16:19:07Z,14,10,71.43,884,305,4.066666666666666,1189,458,94,75
82.27,17.73,BADEN_WUERTTEMBERG,252,2.72,2021-06-30T16:19:07Z,76,53,69.74,2301,496,3.968,2797,1377,182,125
82.6,17.4,BAYERN,341,2.93,2021-06-30T16:19:07Z,109,71,65.14,3077,648,3.207920792079208,3725,1090,270,202
87.82,12.18,SAARLAND,49,2.0,2021-06-30T16:19:07Z,10,6,60.0,440,61,3.588235294117647,501,245,24,17
86.63,13.37,BERLIN,50,4.09,2021-06-30T16:19:07Z,49,34,69.39,1037,160,3.902439024390244,1197,391,64,41
84.11,15.89,BRANDENBURG,27,0.76,2021-06-30T16:19:07Z,5,4,80.0,556,105,2.142857142857143,661,377,55,49
81.16,18.84,MECKLENBURG_VORPOMMERN,43,0.72,2021-06-30T16:19:07Z,5,4,80.0,560,130,4.0625,690,239,42,32
81.73,18.27,SACHSEN,136,2.67,2021-06-30T16:19:07Z,43,31,72.09,1315,294,4.140845070422535,1609,624,95,71
83.07,16.93,SACHSEN_ANHALT,62,1.03,2021-06-30T16:19:07Z,9,8,88.89,726,148,3.6097560975609757,874,356,55,41
80.75,19.25,THUERINGEN,61,2.22,2021-06-30T16:19:07Z,16,12,75.0,583,139,3.861111111111111,722,341,44,36
