"bettenBelegtToBettenGesamtPercent","bettenFreiToBettenGesamtPercent",bundesland,covidKapazitaetFrei,"covidToIntensivBettenPercent",creationTimestamp,faelleCovidAktuell,"faelleCovidAktuellBeatmet","faelleCovidAktuellBeatmetToCovidAktuellPercent",intensivBettenBelegt,intensivBettenFrei,"intensivBettenFreiProStandort",intensivBettenGesamt,intensivBettenNotfall7d,meldebereichAnz,standortAnzahl
79.92,20.08,SCHLESWIG_HOLSTEIN,60,1.85,2021-08-20T16:19:08Z,14,5,35.71,605,152,4.903225806451613,757,461,38,31
82.36,17.64,HAMBURG,38,5.83,2021-08-20T16:19:08Z,37,21,56.76,523,112,4.869565217391305,635,321,33,23
78.84,21.16,NIEDERSACHSEN,174,1.66,2021-08-20T16:19:08Z,32,23,71.88,1524,409,3.5258620689655173,1933,1009,149,116
87.96,12.04,BREMEN,10,2.31,2021-08-20T16:19:08Z,5,2,40.0,190,26,2.3636363636363638,216,133,13,11
83.32,16.68,NORDRHEIN_WESTFALEN,426,3.38,2021-08-20T16:19:08Z,205,101,49.27,5061,1013,3.3766666666666665,6074,2464,398,300
86.18,13.82,HESSEN,68,2.86,2021-08-20T16:19:08Z,57,20,35.09,1715,275,2.925531914893617,1990,771,114,94
74.45,25.55,RHEINLAND_PFALZ,118,2.65,2021-08-20T16:19:08Z,30,9,30.0,842,289,3.8533333333333335,1131,433,94,75
83.26,16.74,BADEN_WUERTTEMBERG,245,2.64,2021-08-20T16:19:08Z,73,41,56.16,2298,462,3.725806451612903,2760,1367,181,124
82.75,17.25,BAYERN,293,2.19,2021-08-20T16:19:08Z,80,31,38.75,3026,631,3.1393034825870645,3657,1079,268,201
86.33,13.67,SAARLAND,36,3.52,2021-08-20T16:19:08Z,18,9,50.0,442,70,4.375,512,236,23,16
90.28,9.72,BERLIN,45,4.9,2021-08-20T16:19:08Z,57,29,50.88,1050,113,2.7560975609756095,1163,425,64,41
82.16,17.84,BRANDENBURG,33,0.46,2021-08-20T16:19:08Z,3,1,33.33,539,117,2.4375,656,378,54,48
82.26,17.74,MECKLENBURG_VORPOMMERN,44,1.26,2021-08-20T16:19:08Z,8,4,50.0,524,113,3.6451612903225805,637,231,41,31
79.09,20.91,SACHSEN,139,1.2,2021-08-20T16:19:08Z,19,10,52.63,1252,331,4.797101449275362,1583,636,93,69
82.5,17.5,SACHSEN_ANHALT,56,0.73,2021-08-20T16:19:08Z,6,3,50.0,679,144,3.5121951219512195,823,360,55,41
83.26,16.74,THUERINGEN,54,1.12,2021-08-20T16:19:08Z,8,3,37.5,597,120,3.3333333333333335,717,340,44,36
