"bettenBelegtToBettenGesamtPercent","bettenFreiToBettenGesamtPercent",bundesland,covidKapazitaetFrei,"covidToIntensivBettenPercent",creationTimestamp,faelleCovidAktuell,"faelleCovidAktuellBeatmet","faelleCovidAktuellBeatmetToCovidAktuellPercent",intensivBettenBelegt,intensivBettenFrei,"intensivBettenFreiProStandort",intensivBettenGesamt,intensivBettenNotfall7d,meldebereichAnz,standortAnzahl
80.93,19.07,SCHLESWIG_HOLSTEIN,43,6.04,2022-03-15T18:05:00Z,44,17,38.64,590,139,4.483870967741935,729,475,41,31
77.76,22.24,HAMBURG,22,6.21,2022-03-15T18:05:00Z,36,18,50.0,451,129,5.375,580,321,34,24
81.69,18.31,NIEDERSACHSEN,129,7.73,2022-03-15T18:05:00Z,160,57,35.63,1691,379,3.211864406779661,2070,956,153,118
86.12,13.88,BREMEN,5,8.61,2022-03-15T18:05:00Z,18,8,44.44,180,29,2.6363636363636362,209,81,13,11
86.49,13.51,NORDRHEIN_WESTFALEN,228,7.69,2022-03-15T18:05:00Z,456,206,45.18,5127,801,2.67,5928,2011,397,300
86.12,13.88,HESSEN,39,7.59,2022-03-15T18:05:00Z,152,64,42.11,1725,278,2.9574468085106385,2003,620,114,94
80.47,19.53,RHEINLAND_PFALZ,58,8.36,2022-03-15T18:05:00Z,92,30,32.61,886,215,2.9452054794520546,1101,369,93,73
85.47,14.53,BADEN_WUERTTEMBERG,131,10.07,2022-03-15T18:05:00Z,262,111,42.37,2224,378,3.0,2602,1070,183,126
85.79,14.21,BAYERN,140,12.29,2022-03-15T18:05:00Z,436,180,41.28,3044,504,2.5074626865671643,3548,615,268,201
82.55,17.45,SAARLAND,32,14.26,2022-03-15T18:05:00Z,67,6,8.96,388,82,5.125,470,242,23,16
85.77,14.23,BERLIN,30,11.92,2022-03-15T18:05:00Z,134,70,52.24,964,160,3.902439024390244,1124,316,68,41
79.48,20.52,BRANDENBURG,41,9.46,2022-03-15T18:05:00Z,65,27,41.54,546,141,2.764705882352941,687,338,57,51
81.56,18.44,MECKLENBURG_VORPOMMERN,44,12.83,2022-03-15T18:05:00Z,87,41,47.13,553,125,3.90625,678,215,42,32
81.26,18.74,SACHSEN,73,10.88,2022-03-15T18:05:00Z,159,44,27.67,1188,274,3.859154929577465,1462,430,96,71
85.32,14.68,SACHSEN_ANHALT,38,9.7,2022-03-15T18:05:00Z,74,28,37.84,651,112,2.731707317073171,763,332,55,41
77.27,22.73,THUERINGEN,48,8.5,2022-03-15T18:05:00Z,58,22,37.93,527,155,4.305555555555555,682,228,44,36
