"bettenBelegtToBettenGesamtPercent","bettenFreiToBettenGesamtPercent",bundesland,"covidToIntensivBettenPercent",creationTimestamp,faelleCovidAktuell,"faelleCovidAktuellBeatmet","faelleCovidAktuellBeatmetToCovidAktuellPercent",intensivBettenBelegt,intensivBettenFrei,intensivBettenGesamt,intensivBettenNotfall7d,meldebereichAnz
75.13,24.87,SCHLESWIG_HOLSTEIN,8.59,2021-01-03T11:19:05Z,66,34,51.52,577,191,768,461,39
80.25,19.75,HAMBURG,18.04,2021-01-03T11:19:05Z,116,70,60.34,516,127,643,343,34
77.34,22.66,NIEDERSACHSEN,12.55,2021-01-03T11:19:05Z,273,135,49.45,1683,493,2176,1050,152
82.86,17.14,BREMEN,14.76,2021-01-03T11:19:05Z,31,22,70.97,174,36,210,147,14
83.86,16.14,NORDRHEIN_WESTFALEN,18.38,2021-01-03T11:19:05Z,1171,652,55.68,5342,1028,6370,2495,406
86.47,13.53,HESSEN,25.21,2021-01-03T11:19:05Z,518,256,49.42,1777,278,2055,831,117
72.44,27.56,RHEINLAND_PFALZ,18.93,2021-01-03T11:19:05Z,224,114,50.89,857,326,1183,461,94
83.06,16.94,BADEN_WUERTTEMBERG,22.33,2021-01-03T11:19:05Z,630,370,58.73,2343,478,2821,1381,183
84.92,15.08,BAYERN,23.93,2021-01-03T11:19:05Z,909,508,55.89,3226,573,3799,1154,270
78.03,21.97,SAARLAND,16.02,2021-01-03T11:19:05Z,78,35,44.87,380,107,487,255,25
88.52,11.48,BERLIN,35.14,2021-01-03T11:19:05Z,447,296,66.22,1126,146,1272,386,64
83.09,16.91,BRANDENBURG,31.04,2021-01-03T11:19:05Z,235,128,54.47,629,128,757,333,56
80.41,19.59,MECKLENBURG_VORPOMMERN,12.0,2021-01-03T11:19:05Z,87,37,42.53,583,142,725,223,42
80.71,19.29,SACHSEN,34.82,2021-01-03T11:19:05Z,556,283,50.9,1289,308,1597,627,94
81.97,18.03,SACHSEN_ANHALT,22.23,2021-01-03T11:19:05Z,201,103,51.24,741,163,904,365,56
82.65,17.35,THUERINGEN,28.06,2021-01-03T11:19:05Z,220,128,58.18,648,136,784,359,45
