"bettenBelegtToBettenGesamtPercent","bettenFreiToBettenGesamtPercent",bundesland,covidKapazitaetFrei,"covidToIntensivBettenPercent",creationTimestamp,faelleCovidAktuell,"faelleCovidAktuellBeatmet","faelleCovidAktuellBeatmetToCovidAktuellPercent",intensivBettenBelegt,intensivBettenFrei,intensivBettenGesamt,intensivBettenNotfall7d,meldebereichAnz
82.68,17.32,SCHLESWIG_HOLSTEIN,61,8.92,2021-02-18T17:19:03Z,70,40,57.14,649,136,785,473,39
81.98,18.02,HAMBURG,44,11.63,2021-02-18T17:19:03Z,80,42,52.5,564,124,688,326,34
82.4,17.6,NIEDERSACHSEN,185,10.12,2021-02-18T17:19:03Z,222,116,52.25,1807,386,2193,1044,153
85.39,14.61,BREMEN,16,14.61,2021-02-18T17:19:03Z,32,21,65.63,187,32,219,136,14
84.33,15.67,NORDRHEIN_WESTFALEN,486,9.65,2021-02-18T17:19:03Z,622,374,60.13,5435,1010,6445,2512,404
86.83,13.17,HESSEN,136,14.76,2021-02-18T17:19:03Z,307,164,53.42,1806,274,2080,781,115
76.7,23.3,RHEINLAND_PFALZ,114,9.25,2021-02-18T17:19:03Z,110,67,60.91,912,277,1189,452,94
83.19,16.81,BADEN_WUERTTEMBERG,279,9.31,2021-02-18T17:19:03Z,267,159,59.55,2386,482,2868,1379,183
84.01,15.99,BAYERN,337,13.06,2021-02-18T17:19:03Z,504,282,55.95,3242,617,3859,1122,270
83.3,16.7,SAARLAND,56,10.81,2021-02-18T17:19:03Z,55,29,52.73,424,85,509,248,24
86.31,13.69,BERLIN,69,20.27,2021-02-18T17:19:03Z,259,169,65.25,1103,175,1278,388,64
80.92,19.08,BRANDENBURG,71,17.52,2021-02-18T17:19:03Z,134,75,55.97,619,146,765,352,57
77.97,22.03,MECKLENBURG_VORPOMMERN,61,8.44,2021-02-18T17:19:03Z,59,26,44.07,545,154,699,245,42
75.03,24.97,SACHSEN,141,13.83,2021-02-18T17:19:03Z,226,125,55.31,1226,408,1634,635,94
81.33,18.67,SACHSEN_ANHALT,72,11.27,2021-02-18T17:19:03Z,102,54,52.94,736,169,905,343,55
86.16,13.84,THUERINGEN,50,16.3,2021-02-18T17:19:03Z,126,69,54.76,666,107,773,357,45
