"bettenBelegtToBettenGesamtPercent","bettenFreiToBettenGesamtPercent",bundesland,"covidToIntensivBettenPercent",creationTimestamp,faelleCovidAktuell,"faelleCovidAktuellBeatmet","faelleCovidAktuellBeatmetToCovidAktuellPercent",intensivBettenBelegt,intensivBettenFrei,intensivBettenGesamt,intensivBettenNotfall7d,meldebereichAnz
74.14,25.86,SCHLESWIG_HOLSTEIN,8.03,2021-01-07T17:19:05Z,63,40,63.49,582,203,785,468,39
81.99,18.01,HAMBURG,16.67,2021-01-07T17:19:05Z,112,65,58.04,551,121,672,331,34
81.17,18.83,NIEDERSACHSEN,12.1,2021-01-07T17:19:05Z,266,135,50.75,1785,414,2199,1028,154
85.97,14.03,BREMEN,14.03,2021-01-07T17:19:05Z,31,15,48.39,190,31,221,144,14
84.83,15.17,NORDRHEIN_WESTFALEN,16.18,2021-01-07T17:19:05Z,1041,611,58.69,5459,976,6435,2452,404
86.59,13.41,HESSEN,23.68,2021-01-07T17:19:05Z,498,267,53.61,1821,282,2103,836,118
76.48,23.52,RHEINLAND_PFALZ,16.79,2021-01-07T17:19:05Z,202,99,49.01,920,283,1203,444,94
82.76,17.24,BADEN_WUERTTEMBERG,20.81,2021-01-07T17:19:05Z,595,360,60.5,2366,493,2859,1395,183
84.22,15.78,BAYERN,23.54,2021-01-07T17:19:05Z,904,500,55.31,3235,606,3841,1166,269
85.46,14.54,SAARLAND,14.93,2021-01-07T17:19:05Z,76,33,43.42,435,74,509,246,24
88.79,11.21,BERLIN,35.01,2021-01-07T17:19:05Z,453,303,66.89,1149,145,1294,380,64
86.15,13.85,BRANDENBURG,30.88,2021-01-07T17:19:05Z,243,115,47.33,678,109,787,318,56
81.6,18.4,MECKLENBURG_VORPOMMERN,12.59,2021-01-07T17:19:05Z,91,39,42.86,590,133,723,235,42
80.79,19.21,SACHSEN,31.81,2021-01-07T17:19:05Z,515,277,53.79,1308,311,1619,616,94
83.41,16.59,SACHSEN_ANHALT,22.97,2021-01-07T17:19:05Z,209,123,58.85,759,151,910,352,56
83.82,16.18,THUERINGEN,25.79,2021-01-07T17:19:05Z,204,122,59.8,663,128,791,349,45
