"bettenBelegtToBettenGesamtPercent","bettenFreiToBettenGesamtPercent",bundesland,"covidToIntensivBettenPercent",creationTimestamp,faelleCovidAktuell,"faelleCovidAktuellBeatmet","faelleCovidAktuellBeatmetToCovidAktuellPercent",intensivBettenBelegt,intensivBettenFrei,intensivBettenGesamt,intensivBettenNotfall7d,meldebereichAnz
68.55,31.45,SCHLESWIG_HOLSTEIN,3.18,2020-12-07T17:19:08Z,27,14,51.85,582,267,849,429,39
79.2,20.8,HAMBURG,13.57,2020-12-07T17:19:08Z,92,62,67.39,537,141,678,348,34
75.11,24.89,NIEDERSACHSEN,8.4,2020-12-07T17:19:08Z,194,105,54.12,1735,575,2310,1064,153
81.7,18.3,BREMEN,15.18,2020-12-07T17:19:08Z,34,26,76.47,183,41,224,136,14
82.2,17.8,NORDRHEIN_WESTFALEN,14.91,2020-12-07T17:19:08Z,965,620,64.25,5321,1152,6473,2571,405
87.09,12.91,HESSEN,17.11,2020-12-07T17:19:08Z,351,214,60.97,1787,265,2052,903,117
74.4,25.6,RHEINLAND_PFALZ,14.65,2020-12-07T17:19:08Z,178,105,58.99,904,311,1215,461,94
78.74,21.26,BADEN_WUERTTEMBERG,15.9,2020-12-07T17:19:08Z,469,269,57.36,2322,627,2949,1535,182
81.6,18.4,BAYERN,18.56,2020-12-07T17:19:08Z,728,441,60.58,3201,722,3923,1482,268
83.68,16.32,SAARLAND,12.6,2020-12-07T17:19:08Z,61,23,37.7,405,79,484,240,25
86.1,13.9,BERLIN,27.1,2020-12-07T17:19:08Z,345,243,70.43,1096,177,1273,421,64
77.27,22.73,BRANDENBURG,13.27,2020-12-07T17:19:08Z,101,53,52.48,588,173,761,407,56
76.03,23.97,MECKLENBURG_VORPOMMERN,5.39,2020-12-07T17:19:08Z,38,14,36.84,536,169,705,240,42
82.12,17.88,SACHSEN,27.5,2020-12-07T17:19:08Z,446,258,57.85,1332,290,1622,682,95
75.58,24.42,SACHSEN_ANHALT,6.81,2020-12-07T17:19:08Z,65,33,50.77,721,233,954,394,56
75.71,24.29,THUERINGEN,11.1,2020-12-07T17:19:08Z,90,39,43.33,614,197,811,412,45
