"bettenBelegtToBettenGesamtPercent","bettenFreiToBettenGesamtPercent",bundesland,"covidToIntensivBettenPercent",creationTimestamp,faelleCovidAktuell,"faelleCovidAktuellBeatmet","faelleCovidAktuellBeatmetToCovidAktuellPercent",intensivBettenBelegt,intensivBettenFrei,intensivBettenGesamt,intensivBettenNotfall7d,meldebereichAnz
77.95,22.05,SCHLESWIG_HOLSTEIN,10.23,2021-01-23T17:21:13Z,77,45,58.44,587,166,753,486,39
82.96,17.04,HAMBURG,14.07,2021-01-23T17:21:13Z,95,61,64.21,560,115,675,327,34
81.46,18.54,NIEDERSACHSEN,12.91,2021-01-23T17:21:13Z,282,142,50.35,1780,405,2185,1041,153
82.49,17.51,BREMEN,17.51,2021-01-23T17:21:13Z,38,21,55.26,179,38,217,129,14
86.03,13.97,NORDRHEIN_WESTFALEN,13.21,2021-01-23T17:21:13Z,849,462,54.42,5531,898,6429,2500,406
85.34,14.66,HESSEN,19.66,2021-01-23T17:21:13Z,409,218,53.3,1775,305,2080,822,115
76.35,23.65,RHEINLAND_PFALZ,15.85,2021-01-23T17:21:13Z,191,93,48.69,920,285,1205,432,94
86.17,13.83,BADEN_WUERTTEMBERG,16.54,2021-01-23T17:21:13Z,475,279,58.74,2474,397,2871,1377,183
84.69,15.31,BAYERN,18.63,2021-01-23T17:21:13Z,717,412,57.46,3259,589,3848,1124,269
84.75,15.25,SAARLAND,17.37,2021-01-23T17:21:13Z,90,37,41.11,439,79,518,237,24
86.7,13.3,BERLIN,28.9,2021-01-23T17:21:13Z,376,263,69.95,1128,173,1301,384,64
80.1,19.9,BRANDENBURG,25.26,2021-01-23T17:21:13Z,193,88,45.6,612,152,764,337,56
80.2,19.8,MECKLENBURG_VORPOMMERN,11.24,2021-01-23T17:21:13Z,80,37,46.25,571,141,712,229,42
75.39,24.61,SACHSEN,26.41,2021-01-23T17:21:13Z,427,240,56.21,1219,398,1617,630,94
85.38,14.62,SACHSEN_ANHALT,19.67,2021-01-23T17:21:13Z,179,113,63.13,777,133,910,347,55
82.92,17.08,THUERINGEN,21.87,2021-01-23T17:21:13Z,178,98,55.06,675,139,814,348,45
