"bettenBelegtToBettenGesamtPercent","bettenFreiToBettenGesamtPercent",bundesland,covidKapazitaetFrei,"covidToIntensivBettenPercent",creationTimestamp,faelleCovidAktuell,"faelleCovidAktuellBeatmet","faelleCovidAktuellBeatmetToCovidAktuellPercent",intensivBettenBelegt,intensivBettenFrei,intensivBettenGesamt,intensivBettenNotfall7d,meldebereichAnz
81.18,18.82,SCHLESWIG_HOLSTEIN,60,9.48,2021-02-26T17:19:05Z,74,56,75.68,634,147,781,477,39
85.07,14.93,HAMBURG,36,12.59,2021-02-26T17:19:05Z,86,54,62.79,581,102,683,328,34
82.6,17.4,NIEDERSACHSEN,181,9.08,2021-02-26T17:19:05Z,202,120,59.41,1837,387,2224,1033,153
88.94,11.06,BREMEN,14,12.83,2021-02-26T17:19:05Z,29,19,65.52,201,25,226,136,14
84.42,15.58,NORDRHEIN_WESTFALEN,515,8.95,2021-02-26T17:19:05Z,574,331,57.67,5413,999,6412,2524,406
86.5,13.5,HESSEN,126,13.17,2021-02-26T17:19:05Z,277,143,51.62,1820,284,2104,806,116
75.45,24.55,RHEINLAND_PFALZ,132,8.21,2021-02-26T17:19:05Z,100,63,63.0,919,299,1218,448,94
84.73,15.27,BADEN_WUERTTEMBERG,254,8.72,2021-02-26T17:19:05Z,249,133,53.41,2420,436,2856,1404,183
83.33,16.67,BAYERN,348,11.83,2021-02-26T17:19:05Z,454,261,57.49,3199,640,3839,1079,270
84.98,15.02,SAARLAND,46,8.89,2021-02-26T17:19:05Z,45,28,62.22,430,76,506,246,24
84.54,15.46,BERLIN,83,16.33,2021-02-26T17:19:05Z,205,152,74.15,1061,194,1255,384,64
79.22,20.78,BRANDENBURG,79,14.64,2021-02-26T17:19:05Z,112,70,62.5,606,159,765,347,57
78.93,21.07,MECKLENBURG_VORPOMMERN,62,5.92,2021-02-26T17:19:05Z,41,23,56.1,547,146,693,248,42
73.12,26.88,SACHSEN,148,11.34,2021-02-26T17:19:05Z,184,103,55.98,1186,436,1622,648,94
86.39,13.61,SACHSEN_ANHALT,61,9.51,2021-02-26T17:19:05Z,86,57,66.28,781,123,904,340,55
87.69,12.31,THUERINGEN,50,16.79,2021-02-26T17:19:05Z,131,69,52.67,684,96,780,366,45
