"bettenBelegtToBettenGesamtPercent","bettenFreiToBettenGesamtPercent",bundesland,covidKapazitaetFrei,"covidToIntensivBettenPercent",creationTimestamp,faelleCovidAktuell,"faelleCovidAktuellBeatmet","faelleCovidAktuellBeatmetToCovidAktuellPercent",intensivBettenBelegt,intensivBettenFrei,intensivBettenGesamt,intensivBettenNotfall7d,meldebereichAnz
79.1,20.9,SCHLESWIG_HOLSTEIN,59,9.74,2021-02-20T17:19:09Z,76,45,59.21,617,163,780,478,39
84.82,15.18,HAMBURG,36,10.66,2021-02-20T17:19:09Z,73,38,52.05,581,104,685,325,34
81.25,18.75,NIEDERSACHSEN,178,9.75,2021-02-20T17:19:09Z,211,110,52.13,1759,406,2165,1062,153
79.7,20.3,BREMEN,17,13.37,2021-02-20T17:19:09Z,27,20,74.07,161,41,202,138,14
84.68,15.32,NORDRHEIN_WESTFALEN,468,9.85,2021-02-20T17:19:09Z,627,357,56.94,5389,975,6364,2515,404
86.95,13.05,HESSEN,130,13.86,2021-02-20T17:19:09Z,289,155,53.63,1813,272,2085,782,115
77.47,22.53,RHEINLAND_PFALZ,109,8.69,2021-02-20T17:19:09Z,103,62,60.19,918,267,1185,443,94
82.69,17.31,BADEN_WUERTTEMBERG,269,9.02,2021-02-20T17:19:09Z,258,152,58.91,2364,495,2859,1381,183
82.96,17.04,BAYERN,332,12.95,2021-02-20T17:19:09Z,497,284,57.14,3184,654,3838,1120,270
79.68,20.32,SAARLAND,58,11.05,2021-02-20T17:19:09Z,56,26,46.43,404,103,507,246,24
86.2,13.8,BERLIN,73,19.35,2021-02-20T17:19:09Z,244,167,68.44,1087,174,1261,384,64
78.63,21.37,BRANDENBURG,81,17.41,2021-02-20T17:19:09Z,132,64,48.48,596,162,758,352,57
78.52,21.48,MECKLENBURG_VORPOMMERN,62,7.26,2021-02-20T17:19:09Z,50,23,46.0,541,148,689,256,42
74.52,25.48,SACHSEN,145,13.14,2021-02-20T17:19:09Z,214,121,56.54,1214,415,1629,646,94
81.43,18.57,SACHSEN_ANHALT,83,10.66,2021-02-20T17:19:09Z,97,58,59.79,741,169,910,346,55
84.03,15.97,THUERINGEN,64,16.62,2021-02-20T17:19:09Z,127,69,54.33,642,122,764,354,45
