"bettenBelegtToBettenGesamtPercent","bettenFreiToBettenGesamtPercent",bundesland,covidKapazitaetFrei,"covidToIntensivBettenPercent",creationTimestamp,faelleCovidAktuell,"faelleCovidAktuellBeatmet","faelleCovidAktuellBeatmetToCovidAktuellPercent",intensivBettenBelegt,intensivBettenFrei,"intensivBettenFreiProStandort",intensivBettenGesamt,intensivBettenNotfall7d,meldebereichAnz,standortAnzahl
74.84,25.16,SCHLESWIG_HOLSTEIN,57,7.02,2021-03-29T16:19:04Z,55,30,54.55,586,197,6.15625,783,473,39,32
82.28,17.72,HAMBURG,45,13.66,2021-03-29T16:19:04Z,91,56,61.54,548,118,4.916666666666667,666,331,34,24
81.08,18.92,NIEDERSACHSEN,163,11.69,2021-03-29T16:19:04Z,254,139,54.72,1761,411,3.483050847457627,2172,1063,153,118
85.0,15.0,BREMEN,13,17.73,2021-03-29T16:19:04Z,39,30,76.92,187,33,2.75,220,138,14,12
85.04,14.96,NORDRHEIN_WESTFALEN,416,11.21,2021-03-29T16:19:04Z,724,358,49.45,5491,966,3.156862745098039,6457,2521,406,306
84.15,15.85,HESSEN,113,16.28,2021-03-29T16:19:04Z,342,162,47.37,1768,333,3.46875,2101,820,116,96
75.25,24.75,RHEINLAND_PFALZ,124,9.8,2021-03-29T16:19:04Z,118,61,51.69,906,298,3.973333333333333,1204,451,94,75
82.46,17.54,BADEN_WUERTTEMBERG,224,12.43,2021-03-29T16:19:04Z,355,185,52.11,2356,501,3.9761904761904763,2857,1391,183,126
82.95,17.05,BAYERN,317,15.13,2021-03-29T16:19:04Z,578,337,58.3,3168,651,3.222772277227723,3819,1130,270,202
83.27,16.73,SAARLAND,42,10.08,2021-03-29T16:19:04Z,50,23,46.0,413,83,4.882352941176471,496,255,24,17
85.65,14.35,BERLIN,67,18.06,2021-03-29T16:19:04Z,224,160,71.43,1062,178,4.341463414634147,1240,382,64,41
80.83,19.17,BRANDENBURG,48,16.89,2021-03-29T16:19:04Z,126,70,55.56,603,143,2.803921568627451,746,346,57,51
77.75,22.25,MECKLENBURG_VORPOMMERN,52,10.69,2021-03-29T16:19:04Z,74,36,48.65,538,154,4.8125,692,236,42,32
75.59,24.41,SACHSEN,105,17.31,2021-03-29T16:19:04Z,278,168,60.43,1214,392,5.52112676056338,1606,656,94,71
84.04,15.96,SACHSEN_ANHALT,68,10.75,2021-03-29T16:19:04Z,97,44,45.36,758,144,3.5121951219512195,902,339,55,41
83.62,16.38,THUERINGEN,45,22.67,2021-03-29T16:19:04Z,173,104,60.12,638,125,3.4722222222222223,763,357,44,36
