"bettenBelegtToBettenGesamtPercent","bettenFreiToBettenGesamtPercent",bundesland,covidKapazitaetFrei,"covidToIntensivBettenPercent",creationTimestamp,faelleCovidAktuell,"faelleCovidAktuellBeatmet","faelleCovidAktuellBeatmetToCovidAktuellPercent",intensivBettenBelegt,intensivBettenFrei,"intensivBettenFreiProStandort",intensivBettenGesamt,intensivBettenNotfall7d,meldebereichAnz,standortAnzahl
81.92,18.08,SCHLESWIG_HOLSTEIN,37,6.16,2022-03-16T17:05:47Z,45,20,44.44,598,132,4.258064516129032,730,475,41,31
78.03,21.97,HAMBURG,25,6.33,2022-03-16T17:05:47Z,36,20,55.56,444,125,5.208333333333333,569,323,34,24
84.2,15.8,NIEDERSACHSEN,123,7.44,2022-03-16T17:05:47Z,154,62,40.26,1742,327,2.7711864406779663,2069,967,153,118
89.62,10.38,BREMEN,4,7.08,2022-03-16T17:05:47Z,15,8,53.33,190,22,2.0,212,81,13,11
86.83,13.17,NORDRHEIN_WESTFALEN,230,8.17,2022-03-16T17:05:47Z,484,205,42.36,5142,780,2.6,5922,2003,397,300
86.0,14.0,HESSEN,46,6.93,2022-03-16T17:05:47Z,139,63,45.32,1726,281,2.9893617021276597,2007,623,114,94
82.86,17.14,RHEINLAND_PFALZ,46,8.52,2022-03-16T17:05:47Z,94,31,32.98,914,189,2.589041095890411,1103,373,93,73
86.34,13.66,BADEN_WUERTTEMBERG,121,10.02,2022-03-16T17:05:47Z,262,110,41.98,2257,357,2.8333333333333335,2614,1061,183,126
85.37,14.63,BAYERN,145,11.76,2022-03-16T17:05:47Z,417,176,42.21,3028,519,2.582089552238806,3547,620,268,201
82.76,17.24,SAARLAND,31,12.93,2022-03-16T17:05:47Z,60,6,10.0,384,80,5.0,464,238,23,16
85.83,14.17,BERLIN,36,10.89,2022-03-16T17:05:47Z,123,64,52.03,969,160,3.902439024390244,1129,316,68,41
82.3,17.7,BRANDENBURG,43,9.64,2022-03-16T17:05:47Z,67,32,47.76,572,123,2.411764705882353,695,337,57,51
85.27,14.73,MECKLENBURG_VORPOMMERN,36,14.88,2022-03-16T17:05:47Z,100,41,41.0,573,99,3.09375,672,214,42,32
81.02,18.98,SACHSEN,63,11.4,2022-03-16T17:05:47Z,167,48,28.74,1187,278,3.915492957746479,1465,428,96,71
85.38,14.62,SACHSEN_ANHALT,37,10.31,2022-03-16T17:05:47Z,79,27,34.18,654,112,2.731707317073171,766,328,55,41
79.47,20.53,THUERINGEN,40,9.16,2022-03-16T17:05:47Z,62,22,35.48,538,139,3.861111111111111,677,228,44,36
