"bettenBelegtToBettenGesamtPercent","bettenFreiToBettenGesamtPercent",bundesland,covidKapazitaetFrei,"covidToIntensivBettenPercent",creationTimestamp,faelleCovidAktuell,"faelleCovidAktuellBeatmet","faelleCovidAktuellBeatmetToCovidAktuellPercent",intensivBettenBelegt,intensivBettenFrei,"intensivBettenFreiProStandort",intensivBettenGesamt,intensivBettenNotfall7d,meldebereichAnz,standortAnzahl
76.74,23.26,SCHLESWIG_HOLSTEIN,58,2.14,2021-08-22T16:19:07Z,16,5,31.25,574,174,5.612903225806452,748,463,38,31
76.47,23.53,HAMBURG,42,6.36,2021-08-22T16:19:07Z,40,22,55.0,481,148,6.166666666666667,629,334,34,24
79.06,20.94,NIEDERSACHSEN,167,2.32,2021-08-22T16:19:07Z,44,22,50.0,1499,397,3.4224137931034484,1896,1028,149,116
89.74,10.26,BREMEN,11,3.08,2021-08-22T16:19:07Z,6,2,33.33,175,20,1.8181818181818181,195,133,13,11
82.6,17.4,NORDRHEIN_WESTFALEN,456,3.87,2021-08-22T16:19:07Z,231,110,47.62,4928,1038,3.4832214765100673,5966,2459,395,298
84.41,15.59,HESSEN,74,2.79,2021-08-22T16:19:07Z,55,22,40.0,1662,307,3.265957446808511,1969,770,114,94
73.47,26.53,RHEINLAND_PFALZ,134,2.83,2021-08-22T16:19:07Z,32,12,37.5,831,300,4.0,1131,446,94,75
81.24,18.76,BADEN_WUERTTEMBERG,247,3.09,2021-08-22T16:19:07Z,84,44,52.38,2209,510,4.112903225806452,2719,1368,181,124
81.4,18.6,BAYERN,338,2.58,2021-08-22T16:19:07Z,93,35,37.63,2936,671,3.3383084577114426,3607,1086,268,201
75.44,24.56,SAARLAND,37,3.34,2021-08-22T16:19:07Z,17,10,58.82,384,125,7.8125,509,237,23,16
86.97,13.03,BERLIN,40,4.75,2021-08-22T16:19:07Z,55,30,54.55,1008,151,3.682926829268293,1159,423,64,41
79.85,20.15,BRANDENBURG,30,0.46,2021-08-22T16:19:07Z,3,2,66.67,523,132,2.75,655,381,54,48
80.51,19.49,MECKLENBURG_VORPOMMERN,45,1.43,2021-08-22T16:19:07Z,9,5,55.56,508,123,3.967741935483871,631,231,41,31
78.28,21.72,SACHSEN,147,1.17,2021-08-22T16:19:07Z,18,10,55.56,1200,333,4.826086956521739,1533,628,92,69
79.06,20.94,SACHSEN_ANHALT,59,0.62,2021-08-22T16:19:07Z,5,3,60.0,638,169,4.121951219512195,807,362,55,41
78.31,21.69,THUERINGEN,55,0.85,2021-08-22T16:19:07Z,6,2,33.33,556,154,4.277777777777778,710,346,44,36
