"bettenBelegtToBettenGesamtPercent","bettenFreiToBettenGesamtPercent",bundesland,covidKapazitaetFrei,"covidToIntensivBettenPercent",creationTimestamp,faelleCovidAktuell,"faelleCovidAktuellBeatmet","faelleCovidAktuellBeatmetToCovidAktuellPercent",intensivBettenBelegt,intensivBettenFrei,"intensivBettenFreiProStandort",intensivBettenGesamt,intensivBettenNotfall7d,meldebereichAnz,standortAnzahl
82.03,17.97,SCHLESWIG_HOLSTEIN,43,4.12,2022-05-03T16:05:17Z,30,10,33.33,598,131,4.225806451612903,729,472,41,31
81.51,18.49,HAMBURG,14,5.28,2022-05-03T16:05:17Z,30,13,43.33,463,105,4.375,568,318,34,24
82.03,17.97,NIEDERSACHSEN,112,4.52,2022-05-03T16:05:17Z,85,24,28.24,1543,338,2.888888888888889,1881,884,150,117
92.39,7.61,BREMEN,3,5.08,2022-05-03T16:05:17Z,10,4,40.0,182,15,1.3636363636363635,197,79,13,11
84.62,15.38,NORDRHEIN_WESTFALEN,290,4.77,2022-05-03T16:05:17Z,279,111,39.78,4946,899,3.0066889632107023,5845,2014,394,299
87.07,12.93,HESSEN,55,5.64,2022-05-03T16:05:17Z,109,38,34.86,1683,250,2.6595744680851063,1933,625,112,94
81.45,18.55,RHEINLAND_PFALZ,55,3.36,2022-05-03T16:05:17Z,38,10,26.32,922,210,2.8378378378378377,1132,369,94,74
84.93,15.07,BADEN_WUERTTEMBERG,144,5.67,2022-05-03T16:05:17Z,149,60,40.27,2231,396,3.168,2627,1053,182,125
84.8,15.2,BAYERN,164,5.86,2022-05-03T16:05:17Z,208,77,37.02,3008,539,2.681592039800995,3547,603,268,201
83.73,16.27,SAARLAND,27,7.38,2022-05-03T16:05:17Z,34,5,14.71,386,75,4.6875,461,244,23,16
83.75,16.25,BERLIN,43,6.14,2022-05-03T16:05:17Z,68,35,51.47,928,180,4.390243902439025,1108,318,68,41
80.71,19.29,BRANDENBURG,44,4.0,2022-05-03T16:05:17Z,28,11,39.29,565,135,2.6470588235294117,700,332,57,51
80.92,19.08,MECKLENBURG_VORPOMMERN,36,4.77,2022-05-03T16:05:17Z,33,13,39.39,560,132,4.0,692,214,43,33
81.3,18.7,SACHSEN,71,6.69,2022-05-03T16:05:17Z,97,35,36.08,1178,271,3.8714285714285714,1449,436,96,70
84.27,15.73,SACHSEN_ANHALT,44,4.12,2022-05-03T16:05:17Z,33,14,42.42,675,126,3.073170731707317,801,321,55,41
77.31,22.69,THUERINGEN,49,5.92,2022-05-03T16:05:17Z,41,16,39.02,535,157,4.361111111111111,692,222,44,36
