"bettenBelegtToBettenGesamtPercent","bettenFreiToBettenGesamtPercent",bundesland,"covidToIntensivBettenPercent",creationTimestamp,faelleCovidAktuell,"faelleCovidAktuellBeatmet","faelleCovidAktuellBeatmetToCovidAktuellPercent",intensivBettenBelegt,intensivBettenFrei,intensivBettenGesamt,intensivBettenNotfall7d,meldebereichAnz
76.72,23.28,SCHLESWIG_HOLSTEIN,10.71,2021-01-24T17:21:23Z,81,47,58.02,580,176,756,487,39
81.95,18.05,HAMBURG,14.59,2021-01-24T17:21:23Z,97,57,58.76,545,120,665,326,34
80.65,19.35,NIEDERSACHSEN,12.49,2021-01-24T17:21:23Z,273,136,49.82,1763,423,2186,1043,153
82.24,17.76,BREMEN,17.29,2021-01-24T17:21:23Z,37,22,59.46,176,38,214,134,14
84.44,15.56,NORDRHEIN_WESTFALEN,12.94,2021-01-24T17:21:23Z,833,467,56.06,5434,1001,6435,2498,406
84.9,15.1,HESSEN,19.73,2021-01-24T17:21:23Z,409,224,54.77,1760,313,2073,826,115
73.91,26.09,RHEINLAND_PFALZ,15.8,2021-01-24T17:21:23Z,189,89,47.09,884,312,1196,436,94
83.67,16.33,BADEN_WUERTTEMBERG,16.47,2021-01-24T17:21:23Z,469,284,60.55,2382,465,2847,1375,183
83.56,16.44,BAYERN,18.69,2021-01-24T17:21:23Z,716,412,57.54,3201,630,3831,1136,269
81.24,18.76,SAARLAND,17.41,2021-01-24T17:21:23Z,90,35,38.89,420,97,517,239,24
86.69,13.31,BERLIN,29.49,2021-01-24T17:21:23Z,381,271,71.13,1120,172,1292,384,64
77.92,22.08,BRANDENBURG,26.02,2021-01-24T17:21:23Z,198,96,48.48,593,168,761,338,56
79.75,20.25,MECKLENBURG_VORPOMMERN,10.89,2021-01-24T17:21:23Z,78,36,46.15,571,145,716,230,42
74.21,25.79,SACHSEN,25.54,2021-01-24T17:21:23Z,414,232,56.04,1203,418,1621,633,94
85.48,14.52,SACHSEN_ANHALT,19.8,2021-01-24T17:21:23Z,180,108,60.0,777,132,909,345,55
80.32,19.68,THUERINGEN,22.79,2021-01-24T17:21:23Z,183,107,58.47,645,158,803,356,45
