"bettenBelegtToBettenGesamtPercent","bettenFreiToBettenGesamtPercent",bundesland,covidKapazitaetFrei,"covidToIntensivBettenPercent",creationTimestamp,faelleCovidAktuell,"faelleCovidAktuellBeatmet","faelleCovidAktuellBeatmetToCovidAktuellPercent",intensivBettenBelegt,intensivBettenFrei,"intensivBettenFreiProStandort",intensivBettenGesamt,intensivBettenNotfall7d,meldebereichAnz,standortAnzahl
80.95,19.05,SCHLESWIG_HOLSTEIN,34,5.48,2022-07-24T17:05:28Z,38,17,44.74,561,132,4.258064516129032,693,489,41,31
75.51,24.49,HAMBURG,19,5.51,2022-07-24T17:05:28Z,27,9,33.33,370,120,5.217391304347826,490,322,33,23
83.19,16.81,NIEDERSACHSEN,82,5.62,2022-07-24T17:05:28Z,108,27,25.0,1598,323,2.8086956521739133,1921,970,148,115
93.17,6.83,BREMEN,0,10.56,2022-07-24T17:05:28Z,17,7,41.18,150,11,1.0,161,90,13,11
85.7,14.3,NORDRHEIN_WESTFALEN,175,6.38,2022-07-24T17:05:28Z,351,115,32.76,4718,787,2.6677966101694914,5505,1969,388,295
89.22,10.78,HESSEN,33,6.51,2022-07-24T17:05:28Z,119,38,31.93,1631,197,2.141304347826087,1828,626,110,92
79.07,20.93,RHEINLAND_PFALZ,49,5.21,2022-07-24T17:05:28Z,57,23,40.35,865,229,3.136986301369863,1094,351,92,73
82.54,17.46,BADEN_WUERTTEMBERG,118,6.01,2022-07-24T17:05:28Z,146,38,26.03,2004,424,3.533333333333333,2428,1025,177,120
85.9,14.1,BAYERN,106,7.29,2022-07-24T17:05:28Z,243,68,27.98,2864,470,2.3618090452261304,3334,603,264,199
78.95,21.05,SAARLAND,26,8.7,2022-07-24T17:05:28Z,38,10,26.32,345,92,5.75,437,262,23,16
89.64,10.36,BERLIN,25,7.13,2022-07-24T17:05:28Z,75,30,40.0,943,109,2.658536585365854,1052,322,68,41
83.8,16.2,BRANDENBURG,16,5.76,2022-07-24T17:05:28Z,37,10,27.03,538,104,2.122448979591837,642,324,55,49
78.12,21.88,MECKLENBURG_VORPOMMERN,40,3.19,2022-07-24T17:05:28Z,21,8,38.1,514,144,4.5,658,203,42,32
78.29,21.71,SACHSEN,67,7.19,2022-07-24T17:05:28Z,99,17,17.17,1078,299,4.271428571428571,1377,446,96,70
82.14,17.86,SACHSEN_ANHALT,32,4.37,2022-07-24T17:05:28Z,33,13,39.39,621,135,3.292682926829268,756,331,55,41
79.58,20.42,THUERINGEN,42,4.95,2022-07-24T17:05:28Z,33,11,33.33,530,136,3.8857142857142857,666,226,43,35
